BA,Scenario,Era_One_Delta_Value,Era_Two_Delta_Value
BPAT,rcp85cooler_ssp5,10.0,31.125
BPAT,rcp85hotter_ssp3,8.375,75.625
BPAT,rcp85hotter_ssp5,10.375,79.125
CHPD,rcp45cooler_ssp3,-2.5,-13.375
CHPD,rcp45cooler_ssp5,-2.625,-14.75
CHPD,rcp45hotter_ssp3,-5.875,-12.5
CHPD,rcp45hotter_ssp5,-6.75,-12.375
CHPD,rcp85cooler_ssp3,-3.375,-8.875
CHPD,rcp85cooler_ssp5,-2.875,-8.625
CHPD,rcp85hotter_ssp3,-5.875,-9.875
CHPD,rcp85hotter_ssp5,-5.75,-9.5
CISO,rcp45cooler_ssp3,3.25,10.125
CISO,rcp45cooler_ssp5,6.75,10.875
CISO,rcp45hotter_ssp3,4.625,9.125
CISO,rcp45hotter_ssp5,7.5,10.0
CISO,rcp85cooler_ssp3,7.125,15.5
CISO,rcp85cooler_ssp5,10.25,15.375
CISO,rcp85hotter_ssp3,8.875,19.375
CISO,rcp85hotter_ssp5,11.75,19.75
CPLE,rcp45cooler_ssp3,16.625,46.625
CPLE,rcp45cooler_ssp5,8.125,33.5
CPLE,rcp45hotter_ssp3,33.5,57.125
CPLE,rcp45hotter_ssp5,27.375,52.75
CPLE,rcp85cooler_ssp3,25.125,76.75
CPLE,rcp85cooler_ssp5,19.875,65.0
CPLE,rcp85hotter_ssp3,46.625,91.25
CPLE,rcp85hotter_ssp5,37.25,77.625
DOPD,rcp45cooler_ssp3,-2.625,3.0
DOPD,rcp45cooler_ssp5,-2.25,7.25
DOPD,rcp45hotter_ssp3,-10.75,-0.25
DOPD,rcp45hotter_ssp5,-9.25,6.625
DOPD,rcp85cooler_ssp3,-2.75,8.375
DOPD,rcp85cooler_ssp5,-3.375,17.25
DOPD,rcp85hotter_ssp3,-10.25,18.625
DOPD,rcp85hotter_ssp5,-6.125,36.75
DUK,rcp45cooler_ssp3,3.0,7.75
DUK,rcp45cooler_ssp5,2.125,7.0
DUK,rcp45hotter_ssp3,4.75,12.75
DUK,rcp45hotter_ssp5,2.625,13.0
DUK,rcp85cooler_ssp3,4.0,33.0
DUK,rcp85cooler_ssp5,2.375,34.5
DUK,rcp85hotter_ssp3,7.75,49.625
DUK,rcp85hotter_ssp5,6.75,52.5
EPE,rcp45cooler_ssp3,23.375,14.75
EPE,rcp45cooler_ssp5,24.0,13.625
EPE,rcp45hotter_ssp3,18.0,27.25
EPE,rcp45hotter_ssp5,18.875,28.0
EPE,rcp85cooler_ssp3,27.875,36.875
EPE,rcp85cooler_ssp5,29.375,36.375
EPE,rcp85hotter_ssp3,14.375,45.375
EPE,rcp85hotter_ssp5,15.625,45.0
ERCO,rcp45cooler_ssp3,12.375,23.625
ERCO,rcp45cooler_ssp5,13.375,19.75
ERCO,rcp45hotter_ssp3,42.0,40.25
