Year,State_FIPS,State_Name,County_FIPS,County_Name,BA_Number,BA_Code
2019,29000,Missouri,29051,Cole County,924.0,AECI
2019,29000,Missouri,29053,Cooper County,924.0,AECI
2019,29000,Missouri,29055,Crawford County,924.0,AECI
2019,29000,Missouri,29057,Dade County,924.0,AECI
2019,29000,Missouri,29059,Dallas County,924.0,AECI
2019,29000,Missouri,29061,Daviess County,924.0,AECI
2019,29000,Missouri,29063,DeKalb County,924.0,AECI
2019,29000,Missouri,29065,Dent County,924.0,AECI
2019,29000,Missouri,29067,Douglas County,924.0,AECI
2019,29000,Missouri,29069,Dunklin County,924.0,AECI
2019,29000,Missouri,29071,Franklin County,924.0,AECI
2019,29000,Missouri,29073,Gasconade County,924.0,AECI
2019,29000,Missouri,29075,Gentry County,924.0,AECI
2019,29000,Missouri,29077,Greene County,924.0,AECI
2019,29000,Missouri,29079,Grundy County,924.0,AECI
2019,29000,Missouri,29081,Harrison County,924.0,AECI
2019,29000,Missouri,29083,Henry County,924.0,AECI
2019,29000,Missouri,29085,Hickory County,924.0,AECI
2019,29000,Missouri,29087,Holt County,924.0,AECI
2019,29000,Missouri,29089,Howard County,924.0,AECI
2019,29000,Missouri,29091,Howell County,924.0,AECI
2019,29000,Missouri,29093,Iron County,924.0,AECI
2019,29000,Missouri,29095,Jackson County,924.0,AECI
2019,29000,Missouri,29097,Jasper County,924.0,AECI
2019,29000,Missouri,29099,Jefferson County,924.0,AECI
2019,29000,Missouri,29101,Johnson County,924.0,AECI
2019,29000,Missouri,29103,Knox County,924.0,AECI
2019,29000,Missouri,29105,Laclede County,924.0,AECI
2019,29000,Missouri,29107,Lafayette County,924.0,AECI
2019,29000,Missouri,29109,Lawrence County,924.0,AECI
2019,29000,Missouri,29111,Lewis County,924.0,AECI
2019,29000,Missouri,29113,Lincoln County,924.0,AECI
2019,29000,Missouri,29115,Linn County,924.0,AECI
2019,29000,Missouri,29117,Livingston County,924.0,AECI
2019,29000,Missouri,29119,McDonald County,924.0,AECI
2019,29000,Missouri,29121,Macon County,924.0,AECI
2019,29000,Missouri,29123,Madison County,924.0,AECI
2019,29000,Missouri,29125,Maries County,924.0,AECI
2019,29000,Missouri,29127,Marion County,924.0,AECI
2019,29000,Missouri,29129,Mercer County,924.0,AECI
2019,29000,Missouri,29131,Miller County,924.0,AECI
2019,29000,Missouri,29133,Mississippi County,924.0,AECI
2019,29000,Missouri,29135,Moniteau County,924.0,AECI
2019,29000,Missouri,29137,Monroe County,924.0,AECI
2019,29000,Missouri,29139,Montgomery County,924.0,AECI
2019,29000,Missouri,29141,Morgan County,924.0,AECI
2019,29000,Missouri,29143,New Madrid County,924.0,AECI
2019,29000,Missouri,29145,Newton County,924.0,AECI
2019,29000,Missouri,29147,Nodaway County,924.0,AECI
2019,29000,Missouri,29149,Oregon County,924.0,AECI
2019,29000,Missouri,29151,Osage County,924.0,AECI
2019,29000,Missouri,29153,Ozark County,924.0,AECI
2019,29000,Missouri,29155,Pemiscot County,924.0,AECI
2019,29000,Missouri,29159,Pettis County,924.0,AECI
2019,29000,Missouri,29161,Phelps County,924.0,AECI
2019,29000,Missouri,29163,Pike County,924.0,AECI
2019,29000,Missouri,29165,Platte County,924.0,AECI
2019,29000,Missouri,29167,Polk County,924.0,AECI
2019,29000,Missouri,29169,Pulaski County,924.0,AECI
2019,29000,Missouri,29171,Putnam County,924.0,AECI
2019,29000,Missouri,29173,Ralls County,924.0,AECI
2019,29000,Missouri,29175,Randolph County,924.0,AECI
2019,29000,Missouri,29177,Ray County,924.0,AECI
2019,29000,Missouri,29179,Reynolds County,924.0,AECI
2019,29000,Missouri,29181,Ripley County,924.0,AECI
2019,29000,Missouri,29183,St. Charles County,924.0,AECI
2019,29000,Missouri,29185,St. Clair County,924.0,AECI
2019,29000,Missouri,29195,Saline County,924.0,AECI
2019,29000,Missouri,29197,Schuyler County,924.0,AECI
2019,29000,Missouri,29199,Scotland County,924.0,AECI
2019,29000,Missouri,29201,Scott County,924.0,AECI
2019,29000,Missouri,29203,Shannon County,924.0,AECI
2019,29000,Missouri,29205,Shelby County,924.0,AECI
2019,29000,Missouri,29207,Stoddard County,924.0,AECI
2019,29000,Missouri,29209,Stone County,924.0,AECI
2019,29000,Missouri,29211,Sullivan County,924.0,AECI
2019,29000,Missouri,29213,Taney County,924.0,AECI
2019,29000,Missouri,29215,Texas County,924.0,AECI
2019,29000,Missouri,29217,Vernon County,924.0,AECI
2019,29000,Missouri,29219,Warren County,924.0,AECI
2019,29000,Missouri,29221,Washington County,924.0,AECI
2019,29000,Missouri,29223,Wayne County,924.0,AECI
2019,29000,Missouri,29225,Webster County,924.0,AECI
2019,29000,Missouri,29227,Worth County,924.0,AECI
2019,29000,Missouri,29229,Wright County,924.0,AECI
2019,40000,Oklahoma,40001,Adair County,924.0,AECI
2019,40000,Oklahoma,40005,Atoka County,924.0,AECI
2019,40000,Oklahoma,40021,Cherokee County,924.0,AECI
2019,40000,Oklahoma,40037,Creek County,924.0,AECI
2019,40000,Oklahoma,40041,Delaware County,924.0,AECI
2019,40000,Oklahoma,40047,Garfield County,924.0,AECI
2019,40000,Oklahoma,40061,Haskell County,924.0,AECI
2019,40000,Oklahoma,40073,Kingfisher County,924.0,AECI
2019,40000,Oklahoma,40077,Latimer County,924.0,AECI
2019,40000,Oklahoma,40079,Le Flore County,924.0,AECI
2019,40000,Oklahoma,40081,Lincoln County,924.0,AECI
2019,40000,Oklahoma,40083,Logan County,924.0,AECI
2019,40000,Oklahoma,40091,McIntosh County,924.0,AECI
2019,40000,Oklahoma,40097,Mayes County,924.0,AECI
2019,40000,Oklahoma,40101,Muskogee County,924.0,AECI
2019,40000,Oklahoma,40103,Noble County,924.0,AECI
2019,40000,Oklahoma,40105,Nowata County,924.0,AECI
2019,40000,Oklahoma,40107,Okfuskee County,924.0,AECI
2019,40000,Oklahoma,40109,Oklahoma County,924.0,AECI
2019,40000,Oklahoma,40111,Okmulgee County,924.0,AECI
2019,40000,Oklahoma,40113,Osage County,924.0,AECI
2019,40000,Oklahoma,40117,Pawnee County,924.0,AECI
2019,40000,Oklahoma,40119,Payne County,924.0,AECI
2019,40000,Oklahoma,40121,Pittsburg County,924.0,AECI
2019,40000,Oklahoma,40127,Pushmataha County,924.0,AECI
2019,40000,Oklahoma,40131,Rogers County,924.0,AECI
2019,40000,Oklahoma,40133,Seminole County,924.0,AECI
2019,40000,Oklahoma,40135,Sequoyah County,924.0,AECI
2019,40000,Oklahoma,40143,Tulsa County,924.0,AECI
2019,40000,Oklahoma,40145,Wagoner County,924.0,AECI
2019,40000,Oklahoma,40147,Washington County,924.0,AECI
2019,16000,Idaho,16009,Benewah County,1738.0,BPAT
2019,16000,Idaho,16017,Bonner County,1738.0,BPAT
2019,16000,Idaho,16019,Bonneville County,1738.0,BPAT
2019,16000,Idaho,16021,Boundary County,1738.0,BPAT
2019,16000,Idaho,16029,Caribou County,1738.0,BPAT
2019,16000,Idaho,16031,Cassia County,1738.0,BPAT
2019,16000,Idaho,16033,Clark County,1738.0,BPAT
2019,16000,Idaho,16043,Fremont County,1738.0,BPAT
2019,16000,Idaho,16049,Idaho County,1738.0,BPAT
2019,16000,Idaho,16051,Jefferson County,1738.0,BPAT
2019,16000,Idaho,16055,Kootenai County,1738.0,BPAT
2019,16000,Idaho,16065,Madison County,1738.0,BPAT
2019,16000,Idaho,16067,Minidoka County,1738.0,BPAT
2019,16000,Idaho,16071,Oneida County,1738.0,BPAT
2019,16000,Idaho,16073,Owyhee County,1738.0,BPAT
2019,16000,Idaho,16077,Power County,1738.0,BPAT
2019,16000,Idaho,16081,Teton County,1738.0,BPAT
2019,16000,Idaho,16087,Washington County,1738.0,BPAT
2019,30000,Montana,30003,Big Horn County,1738.0,BPAT
2019,30000,Montana,30009,Carbon County,1738.0,BPAT
2019,30000,Montana,30029,Flathead County,1738.0,BPAT
2019,30000,Montana,30031,Gallatin County,1738.0,BPAT
2019,30000,Montana,30039,Granite County,1738.0,BPAT
2019,30000,Montana,30047,Lake County,1738.0,BPAT
2019,30000,Montana,30053,Lincoln County,1738.0,BPAT
2019,30000,Montana,30061,Mineral County,1738.0,BPAT
2019,30000,Montana,30063,Missoula County,1738.0,BPAT
2019,30000,Montana,30067,Park County,1738.0,BPAT
2019,30000,Montana,30077,Powell County,1738.0,BPAT
2019,30000,Montana,30081,Ravalli County,1738.0,BPAT
2019,30000,Montana,30089,Sanders County,1738.0,BPAT
2019,32000,Nevada,32007,Elko County,1738.0,BPAT
2019,32000,Nevada,32013,Humboldt County,1738.0,BPAT
2019,41000,Oregon,41001,Baker County,1738.0,BPAT
2019,41000,Oregon,41003,Benton County,1738.0,BPAT
2019,41000,Oregon,41005,Clackamas County,1738.0,BPAT
2019,41000,Oregon,41007,Clatsop County,1738.0,BPAT
2019,41000,Oregon,41009,Columbia County,1738.0,BPAT
2019,41000,Oregon,41011,Coos County,1738.0,BPAT
2019,41000,Oregon,41013,Crook County,1738.0,BPAT
2019,41000,Oregon,41015,Curry County,1738.0,BPAT
2019,41000,Oregon,41017,Deschutes County,1738.0,BPAT
2019,41000,Oregon,41019,Douglas County,1738.0,BPAT
2019,41000,Oregon,41021,Gilliam County,1738.0,BPAT
2019,41000,Oregon,41023,Grant County,1738.0,BPAT
2019,41000,Oregon,41025,Harney County,1738.0,BPAT
2019,41000,Oregon,41027,Hood River County,1738.0,BPAT
2019,41000,Oregon,41031,Jefferson County,1738.0,BPAT
2019,41000,Oregon,41035,Klamath County,1738.0,BPAT
2019,41000,Oregon,41037,Lake County,1738.0,BPAT
2019,41000,Oregon,41039,Lane County,1738.0,BPAT
2019,41000,Oregon,41041,Lincoln County,1738.0,BPAT
2019,41000,Oregon,41043,Linn County,1738.0,BPAT
2019,41000,Oregon,41045,Malheur County,1738.0,BPAT
2019,41000,Oregon,41047,Marion County,1738.0,BPAT
2019,41000,Oregon,41049,Morrow County,1738.0,BPAT
2019,41000,Oregon,41051,Multnomah County,1738.0,BPAT
2019,41000,Oregon,41053,Polk County,1738.0,BPAT
2019,41000,Oregon,41055,Sherman County,1738.0,BPAT
2019,41000,Oregon,41057,Tillamook County,1738.0,BPAT
2019,41000,Oregon,41059,Umatilla County,1738.0,BPAT
2019,41000,Oregon,41061,Union County,1738.0,BPAT
2019,41000,Oregon,41063,Wallowa County,1738.0,BPAT
2019,41000,Oregon,41065,Wasco County,1738.0,BPAT
2019,41000,Oregon,41067,Washington County,1738.0,BPAT
2019,41000,Oregon,41069,Wheeler County,1738.0,BPAT
2019,41000,Oregon,41071,Yamhill County,1738.0,BPAT
2019,49000,Utah,49003,Box Elder County,1738.0,BPAT
2019,53000,Washington,53001,Adams County,1738.0,BPAT
2019,53000,Washington,53003,Asotin County,1738.0,BPAT
2019,53000,Washington,53005,Benton County,1738.0,BPAT
2019,53000,Washington,53007,Chelan County,1738.0,BPAT
2019,53000,Washington,53009,Clallam County,1738.0,BPAT
2019,53000,Washington,53011,Clark County,1738.0,BPAT
2019,53000,Washington,53013,Columbia County,1738.0,BPAT
2019,53000,Washington,53015,Cowlitz County,1738.0,BPAT
2019,53000,Washington,53017,Douglas County,1738.0,BPAT
2019,53000,Washington,53019,Ferry County,1738.0,BPAT
2019,53000,Washington,53021,Franklin County,1738.0,BPAT
