Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,219.99,2.04,319.31,1.99,393.619999999999,2.09
2020,Arizona,362.27,3.26,757.31,4.26,984.4399999999987,4.54
2020,Arkansas,97.84,1.69,149.83,1.86,171.15999999999985,1.8
2020,California,874.38,2.3,1393.43,2.54,1804.0,2.49
2020,Colorado,227.05,3.19,328.87,3.44,410.4200000000001,3.56
2020,Connecticut,23.5,0.64,36.55,0.73,49.42000000000007,0.78
2020,Delaware,11.15,0.77,15.87,0.74,21.110000000000127,0.8
2020,District of Columbia,10.33,0.69,14.62,0.65,19.65000000000009,0.71
2020,Florida,771.68,2.46,1121.52,2.37,1192.0699999999997,2.22
2020,Georgia,321.24,1.86,464.31,1.78,528.369999999999,1.73
2020,Idaho,69.28,2.2,123.67,2.92,163.3699999999999,3.04
2020,Illinois,173.91,0.98,305.8,1.22,435.59999999999854,1.45
2020,Indiana,223.77,1.89,289.64,1.76,335.5,1.73
2020,Iowa,65.5,1.11,76.15,0.92,86.06999999999971,0.88
2020,Kansas,95.66,1.79,151.95,1.9,194.3700000000008,2.06
2020,Kentucky,192.36,2.06,281.33,2.08,365.8199999999997,2.21
2020,Louisiana,102.76,0.96,117.37,0.79,131.45999999999913,0.75
2020,Maine,17.08,1.22,25.16,1.3,33.16999999999962,1.35
2020,Maryland,128.71,1.54,186.57,1.51,238.5500000000011,1.57
2020,Massachusetts,96.52,1.37,141.2,1.45,185.5600000000013,1.5
2020,Michigan,164.84,1.37,191.18,1.15,217.59000000000015,1.11
2020,Minnesota,86.03,1.04,86.04,0.75,96.0,0.7
2020,Mississippi,84.12,1.44,107.72,1.29,129.3700000000008,1.3
2020,Missouri,173.54,1.63,242.65,1.59,271.84999999999854,1.5
2020,Montana,10.8,0.62,17.22,0.79,20.13000000000011,0.81
2020,Nebraska,45.7,1.17,82.03,1.44,108.59999999999945,1.61
2020,Nevada,101.16,2.02,194.31,2.55,200.9399999999987,2.13
2020,New Hampshire,20.16,1.44,29.41,1.52,38.590000000000146,1.57
2020,New Jersey,74.04,0.75,108.33,0.74,140.63000000000102,0.79
2020,New Mexico,58.47,2.09,84.65,2.1,99.90000000000055,2.15
2020,New York,295.36,1.46,509.01,1.81,660.9100000000035,1.85
2020,North Carolina,384.66,2.18,603.14,2.33,757.369999999999,2.45
2020,North Dakota,18.09,0.8,28.81,0.9,32.54999999999973,0.87
2020,Ohio,292.44,1.66,424.44,1.62,541.2299999999996,1.69
2020,Oklahoma,115.14,1.47,194.3,1.67,253.71999999999935,1.84
2020,Oregon,170.41,2.62,233.25,2.78,312.0,2.94
2020,Pennsylvania,322.75,1.78,469.54,1.75,597.1399999999994,1.82
2020,Rhode Island,8.8,0.9,13.25,0.98,17.660000000000082,1.03
2020,South Carolina,225.44,2.18,338.69,2.19,439.1800000000003,2.31
2020,South Dakota,11.66,0.76,16.81,0.77,21.59999999999991,0.85
2020,Tennessee,323.21,2.47,496.27,2.6,593.4700000000012,2.59
2020,Texas,985.03,1.95,1455.86,1.9,1736.9700000000012,1.95
2020,Utah,98.42,2.32,120.37,2.16,162.4300000000003,2.48
2020,Vermont,7.49,1.1,11.11,1.18,14.690000000000055,1.23
2020,Virginia,288.37,1.96,426.57,1.96,554.0,2.08
2020,Washington,359.47,2.82,467.3,2.75,599.6599999999999,2.78
2020,West Virginia,74.17,2.04,108.0,2.01,136.77000000000044,2.07
2020,Wisconsin,114.93,1.38,143.83,1.27,161.60999999999876,1.21
2020,Wyoming,19.38,1.06,26.49,1.14,34.11999999999989,1.28
2025,Alabama,751.77,6.78,1086.78,6.81,1603.5499999999993,6.89
2025,Arizona,972.16,8.41,1808.33,9.77,2233.9300000000003,9.83
2025,Arkansas,350.94,5.96,483.24,6.12,570.5599999999995,6.28
2025,California,2308.11,5.8,3452.67,5.94,4629.880000000005,6.1
2025,Colorado,565.46,7.45,778.86,7.8,967.960000000001,7.93
2025,Connecticut,100.03,2.83,137.65,2.91,183.52000000000044,3.04
2025,Delaware,58.45,4.01,83.08,4.01,99.94000000000005,3.99
2025,District of Columbia,43.72,2.9,62.13,2.9,74.59999999999991,2.88
2025,Florida,2124.48,6.8,3083.36,6.71,3431.5,5.97
2025,Georgia,972.67,5.54,1402.17,5.52,2223.449999999997,6.0
2025,Idaho,234.47,6.91,360.36,7.84,453.9400000000005,8.0
2025,Illinois,549.74,3.2,833.27,3.53,1054.079999999998,3.77
