Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,154.06,1.43,196.54,1.24,34.93000000000029,0.19
2020,Arizona,183.2,1.81,259.02,1.48,302.22999999999956,1.42
2020,Arkansas,83.64,1.47,97.11,1.21,101.26000000000022,1.07
2020,California,502.99,1.37,657.5,1.19,760.3000000000029,1.06
2020,Colorado,197.44,2.8,235.64,2.48,279.4399999999987,2.44
2020,Connecticut,33.99,0.93,51.87,1.05,22.5,0.36
2020,Delaware,16.76,1.14,24.17,1.14,5.440000000000055,0.21
2020,District of Columbia,8.79,0.56,17.0,0.77,16.809999999999945,0.62
2020,Florida,460.59,1.46,764.11,1.62,1546.1299999999974,2.87
2020,Georgia,237.48,1.36,312.86,1.21,131.77000000000044,0.44
2020,Idaho,30.43,1.02,29.36,0.7,22.210000000000036,0.42
2020,Illinois,334.92,1.92,440.6,1.77,343.22000000000116,1.14
2020,Indiana,425.44,3.55,560.32,3.38,546.1999999999971,2.79
2020,Iowa,37.23,0.63,40.88,0.5,21.76000000000022,0.22
2020,Kansas,51.23,0.99,59.8,0.76,1.9699999999993452,0.02
2020,Kentucky,254.37,2.71,345.96,2.57,345.369999999999,2.09
2020,Louisiana,137.12,1.28,159.2,1.08,178.13000000000102,1.02
2020,Maine,18.42,1.32,24.92,1.3,3.7599999999997635,0.15
2020,Maryland,55.96,0.65,98.28,0.81,62.11999999999898,0.41
2020,Massachusetts,62.23,0.88,97.79,1.02,52.840000000000146,0.43
2020,Michigan,337.96,2.76,433.25,2.6,478.02000000000044,2.42
2020,Minnesota,55.08,0.65,64.57,0.56,53.960000000000946,0.4
2020,Mississippi,90.18,1.53,102.36,1.23,51.75,0.52
2020,Missouri,165.24,1.57,192.32,1.27,167.38999999999942,0.92
2020,Montana,22.43,1.31,24.15,1.1,25.36999999999989,1.02
2020,Nebraska,27.56,0.73,37.54,0.67,27.170000000000073,0.41
2020,Nevada,51.73,1.11,72.91,0.95,135.21999999999935,1.44
2020,New Hampshire,13.61,0.97,20.36,1.07,7.229999999999563,0.3
