Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,AEC,16.24,3.02,25.75,3.03,31.24,2.81
2020,AECI,66.01,2.73,95.43,2.48,108.33,2.35
2020,AVA,56.32,3.69,78.77,3.74,98.53,3.8
2020,AZPS,31.3,0.72,80.6,1.23,111.94,1.36
2020,BANC,74.51,3.55,113.14,3.36,155.63,3.25
2020,BPAT,288.76,4.11,385.75,4.18,516.04,4.23
2020,CHPD,8.46,3.57,15.38,3.81,20.82,3.64
2020,CISO,996.88,3.52,1406.22,3.44,1957.88,3.63
2020,CPLE,43.39,0.64,56.93,0.54,30.07,0.23
2020,DOPD,6.02,2.82,11.09,3.5,14.39,3.32
2020,DUK,25.82,0.22,22.68,0.13,1.96,0.01
2020,EPE,21.33,2.29,34.31,2.23,41.07,2.22
2020,ERCO,484.81,1.27,738.07,1.24,848.56,1.22
2020,FMPP,32.38,1.39,50.6,1.45,66.44,1.64
2020,FPC,96.83,1.39,158.99,1.45,212.9,1.62
2020,FPL,206.25,1.28,336.37,1.4,412.82,1.53
2020,GCPD,22.99,3.46,28.45,3.49,34.45,3.55
2020,GVL,3.48,1.37,5.46,1.37,6.76,1.37
2020,HST,0.97,1.37,1.43,1.37,1.57,1.37
2020,IID,16.5,3.63,32.66,3.67,43.24,3.63
2020,IPCO,79.21,4.02,93.53,3.13,128.53,3.32
2020,ISNE,169.57,1.04,214.64,0.96,250.54,0.88
2020,JEA,23.26,1.38,35.75,1.42,42.95,1.4
2020,LDWP,127.08,3.59,194.98,3.59,256.17,3.59
2020,LGEE,62.78,1.76,89.36,1.74,101.24,1.6
2020,MISO,717.68,0.92,1071.92,1.03,1238.47,1.01
2020,NEVP,163.81,3.47,223.43,2.79,322.76,3.24
2020,NSB,0.73,1.37,1.22,1.37,1.54,1.37
2020,NWMT,34.18,3.16,42.2,3.16,47.52,3.11
2020,NYIS,389.39,2.08,457.51,1.72,548.69,1.63
2020,PACE,269.3,4.35,368.19,4.56,411.68,4.32
2020,PACW,113.13,4.41,136.8,4.13,172.72,4.09
2020,PGE,130.13,5.17,171.03,5.15,223.06,5.06
2020,PJM,988.89,1.03,1491.64,1.05,1604.93,0.93
2020,PNM,51.49,3.04,68.68,2.87,82.86,2.95
2020,PSCO,155.52,3.13,188.05,2.72,224.6,2.64
2020,PSEI,132.96,3.45,178.68,3.44,221.11,3.43
2020,SC,45.04,1.45,69.12,1.48,114.04,1.86
2020,SCEG,42.46,1.34,61.91,1.3,73.23,1.26
2020,SCL,44.06,3.46,58.56,3.46,71.8,3.46
2020,SEC,2.42,1.37,3.69,1.41,5.25,1.69
2020,SOCO,615.56,2.32,954.41,2.42,1087.68,2.37
2020,SPA,1.94,2.65,2.64,2.62,2.61,2.26
2020,SRP,2.62,0.06,7.64,0.12,8.73,0.11
2020,SWPP,876.12,2.79,1275.52,2.7,1435.11,2.58
2020,TAL,4.84,1.37,7.45,1.37,9.04,1.37
2020,TEC,38.42,1.38,60.14,1.43,72.98,1.52
2020,TEPC,5.96,0.32,13.12,0.45,19.66,0.55
2020,TIDC,11.4,3.51,17.19,3.31,23.27,3.29
2020,TPWR,21.81,3.44,30.06,3.42,37.09,3.45
2020,TVA,348.17,1.78,475.45,1.66,615.61,1.8
2020,WACM,107.62,3.4,129.85,3.29,149.51,3.24
2020,WALC,26.61,2.44,31.38,2.02,35.68,1.99
2020,WAUW,3.07,3.58,4.11,3.53,4.83,3.44
2025,AEC,17.28,3.14,26.58,3.06,51.23,3.09
2025,AECI,73.0,3.09,113.81,3.06,201.58,3.71
2025,AVA,75.0,4.44,103.77,4.44,114.55,4.12
2025,AZPS,61.4,1.35,150.57,2.21,167.73,1.97
2025,BANC,101.48,4.49,157.61,4.22,206.88,4.08
2025,BPAT,368.81,4.82,501.52,5.0,631.16,5.12
2025,CHPD,11.22,4.28,19.15,4.55,23.31,4.27
2025,CISO,1366.5,4.55,2016.16,4.63,2602.17,4.56
2025,CPLE,49.54,0.7,74.91,0.72,165.86,1.04
2025,DOPD,7.41,3.2,11.83,3.42,16.29,4.04
2025,DUK,138.84,1.14,223.07,1.28,240.62,0.98
2025,EPE,28.65,2.98,43.35,2.82,52.94,2.84
2025,ERCO,586.25,1.48,851.81,1.43,923.25,1.34
2025,FMPP,32.14,1.3,49.79,1.38,81.26,1.73
2025,FPC,96.95,1.3,159.68,1.39,322.93,1.94
2025,FPL,201.27,1.19,326.78,1.32,388.53,1.36
2025,GCPD,30.43,4.2,38.33,4.23,44.87,4.26
2025,GVL,3.44,1.26,5.23,1.26,7.38,1.26
2025,HST,0.93,1.26,1.36,1.26,1.49,1.25
2025,IID,22.37,4.62,44.17,4.68,56.21,4.59
2025,IPCO,105.03,4.76,124.97,3.7,152.44,3.56
2025,ISNE,80.3,0.5,90.79,0.42,84.85,0.3
2025,JEA,22.93,1.28,34.55,1.29,69.37,1.43
2025,LDWP,170.47,4.55,261.36,4.56,351.86,4.61
2025,LGEE,53.87,1.53,70.63,1.41,105.01,1.54
2025,MISO,205.69,0.26,314.15,0.31,250.03,0.22
2025,NEVP,210.03,4.16,285.85,3.28,388.69,3.65
2025,NSB,0.72,1.26,1.18,1.26,1.9,1.26
2025,NWMT,49.19,4.32,61.01,4.32,66.66,4.14
2025,NYIS,439.85,2.37,506.12,1.98,671.01,2.09
2025,PACE,363.1,5.48,502.94,5.84,596.93,5.8
2025,PACW,136.14,4.97,166.33,4.73,222.62,5.25
2025,PGE,148.99,5.58,195.37,5.54,252.85,5.65
2025,PJM,338.5,0.35,477.02,0.35,713.13,0.44
2025,PNM,76.42,4.28,100.43,4.11,123.61,4.26
2025,PSCO,235.5,4.42,279.23,3.85,342.86,3.85
2025,PSEI,173.46,4.13,229.61,4.1,272.36,4.02
2025,SC,104.04,3.28,155.18,3.36,245.05,3.48
2025,SCEG,105.41,3.23,151.47,3.22,217.17,3.23
2025,SCL,57.33,4.15,74.75,4.15,89.75,4.15
2025,SEC,2.42,1.28,3.83,1.33,8.98,1.76
2025,SOCO,498.36,1.88,726.6,1.91,764.73,1.36
2025,SPA,2.11,2.89,2.87,2.86,3.31,2.79
2025,SRP,21.07,0.52,42.24,0.63,51.65,0.62
2025,SWPP,1021.84,3.28,1476.47,3.34,1756.72,3.41
2025,TAL,4.75,1.26,7.19,1.26,11.89,1.26
2025,TEC,37.8,1.28,59.69,1.37,81.39,1.53
2025,TEPC,15.33,0.79,31.28,1.05,41.17,1.1
2025,TIDC,15.45,4.46,23.75,4.2,30.7,4.21
2025,TPWR,28.48,4.12,38.66,4.07,46.56,4.07
2025,TVA,297.3,1.52,390.37,1.37,682.39,1.66
2025,WACM,151.63,4.49,181.6,4.39,208.57,4.3
2025,WALC,34.66,2.97,43.92,2.64,52.47,2.68
2025,WAUW,4.27,4.72,5.82,4.69,6.25,4.28
2030,AEC,6.92,1.23,10.86,1.19,12.77,1.17
2030,AECI,18.31,0.74,40.62,1.09,24.51,0.52
2030,AVA,3.8,0.21,6.06,0.25,13.03,0.43
2030,AZPS,343.97,7.53,653.31,8.79,864.84,8.83
2030,BANC,15.21,0.59,35.88,0.9,59.38,1.07
2030,BPAT,35.05,0.43,67.96,0.64,107.47,0.79
2030,CHPD,1.03,0.42,0.9,0.21,2.32,0.38
2030,CISO,144.17,0.45,142.24,0.31,59.22,0.1
2030,CPLE,348.78,4.97,528.37,4.89,701.34,5.32
2030,DOPD,5.55,2.4,6.44,1.93,2.58,0.57
2030,DUK,702.7,5.6,1071.47,5.81,1339.86,6.0
2030,EPE,17.13,1.65,30.29,1.86,39.98,1.87
2030,ERCO,1260.42,3.05,1994.09,3.14,2303.62,3.13
2030,FMPP,72.82,2.9,106.17,2.84,117.72,2.79
2030,FPC,218.56,2.92,329.86,2.78,353.09,2.62
2030,FPL,539.0,3.1,746.81,2.89,739.73,2.57
2030,GCPD,3.36,0.45,3.54,0.37,4.35,0.39
2030,GVL,8.13,2.93,12.78,2.93,15.07,2.93
2030,HST,2.3,2.93,3.32,2.93,3.65,2.93
2030,IID,1.89,0.39,2.97,0.29,4.43,0.33
2030,IPCO,23.49,0.96,45.95,1.25,79.48,1.76
2030,ISNE,616.2,3.62,872.4,3.75,1094.74,3.85
2030,JEA,51.46,2.89,76.66,2.81,98.9,3.02
2030,LDWP,19.82,0.49,30.11,0.48,39.61,0.49
2030,LGEE,117.25,3.29,171.1,3.31,241.51,3.73
2030,MISO,3487.54,4.33,4601.66,4.22,5168.32,4.03
2030,NEVP,67.49,1.13,121.65,1.33,161.37,1.44
2030,NSB,1.7,2.93,2.82,2.93,3.34,2.93
