Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,58.87,0.56,92.24,0.59,112.78,0.62
2020,Arizona,97.43,1.1,28.53,0.16,24.54,0.11
2020,Arkansas,7.34,0.12,18.7,0.23,20.34,0.22
2020,California,1014.3,2.87,1394.67,2.65,1770.02,2.55
2020,Colorado,81.4,1.19,89.62,0.95,79.34,0.7
2020,Connecticut,2.17,0.06,5.82,0.11,12.99,0.2
2020,Delaware,14.2,0.97,20.63,0.94,27.53,1.03
2020,District of Columbia,5.0,0.31,8.02,0.34,7.29,0.26
2020,Florida,226.78,0.69,386.69,0.78,540.11,0.94
2020,Georgia,87.32,0.5,131.03,0.51,150.07,0.5
2020,Idaho,29.21,0.99,11.93,0.29,2.5,0.05
2020,Illinois,119.19,0.73,115.34,0.48,70.3,0.24
2020,Indiana,32.95,0.26,65.91,0.4,63.6,0.33
2020,Iowa,8.64,0.13,25.45,0.31,24.02,0.25
2020,Kansas,21.31,0.43,25.11,0.33,19.28,0.21
2020,Kentucky,17.0,0.18,28.1,0.21,54.49,0.34
2020,Louisiana,37.63,0.34,75.43,0.52,76.31,0.45
2020,Maine,5.76,0.42,6.61,0.34,6.09,0.25
2020,Maryland,32.54,0.39,51.41,0.42,49.74,0.33
2020,Massachusetts,32.87,0.47,38.62,0.39,37.41,0.3
2020,Michigan,94.61,0.76,163.83,0.98,176.18,0.89
2020,Minnesota,36.76,0.41,82.04,0.71,83.19,0.61
2020,Mississippi,12.13,0.2,27.08,0.33,19.56,0.2
2020,Missouri,11.05,0.1,13.59,0.09,18.88,0.11
2020,Montana,9.81,0.55,16.15,0.72,19.01,0.74
2020,Nebraska,7.22,0.18,19.04,0.34,30.83,0.46
2020,Nevada,28.36,0.64,18.25,0.23,46.56,0.48
2020,New Hampshire,4.96,0.36,5.5,0.29,4.7,0.19
