BA,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%,Scenario_Pair
NYIS,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,6.73,2040.0,7.27,7.0
PACE,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,5.17,2040.0,5.21,7.0
PACW,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.48,2050.0,8.19,7.0
PGE,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.18,2050.0,8.51,7.0
PJM,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,7.06,2040.0,5.24,7.0
PNM,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.31,2040.0,7.37,7.0
PSCO,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.31,2040.0,5.76,7.0
PSEI,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.88,2050.0,8.13,7.0
SC,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,5.41,2060.0,5.13,7.0
SCEG,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,5.33,2065.0,12.0,7.0
SCL,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.93,2045.0,5.18,7.0
SEC,rcp85cooler_ssp5,rcp45cooler_ssp5,2070.0,5.35,2075.0,6.24,7.0
SOCO,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,7.02,2060.0,5.68,7.0
SPA,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,5.25,2045.0,8.57,7.0
SRP,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.61,2045.0,6.19,7.0
SWPP,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.23,2040.0,7.07,7.0
TAL,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,6.49,2080.0,7.79,7.0
TEC,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,5.97,2075.0,6.22,7.0
TEPC,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.3,2050.0,6.28,7.0
TIDC,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,8.7,2035.0,5.82,7.0
TPWR,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.89,2050.0,8.22,7.0
TVA,rcp85cooler_ssp5,rcp45cooler_ssp5,2055.0,5.77,2055.0,9.86,7.0
WACM,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.77,2040.0,6.6,7.0
WALC,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,6.13,2040.0,5.79,7.0
WAUW,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,5.4,2040.0,5.86,7.0
AEC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
AECI,rcp45hotter_ssp5,rcp45cooler_ssp5,,,2070.0,5.01,10.0
AVA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
AZPS,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
BANC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
BPAT,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
CHPD,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
CISO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
CPLE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
DOPD,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
DUK,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
EPE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
ERCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
FMPP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
FPC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
FPL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
GCPD,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
GVL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
HST,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
IID,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
IPCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
ISNE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
JEA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
LDWP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
LGEE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
MISO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NEVP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NSB,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NWMT,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NYIS,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PACE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PACW,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PGE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PJM,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PNM,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PSCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PSEI,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SCEG,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SCL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SEC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SOCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SPA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SRP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SWPP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TAL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TEC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TEPC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TIDC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TPWR,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TVA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
WACM,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
WALC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
WAUW,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
AEC,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.05,2035.0,10.8,1.0
AECI,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.96,2035.0,13.48,1.0
AVA,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.32,2035.0,9.54,1.0
AZPS,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,11.01,2030.0,12.31,1.0
BANC,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.87,2035.0,13.41,1.0
BPAT,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,8.62,2035.0,8.78,1.0
CHPD,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.0,2035.0,8.69,1.0
CISO,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.71,2035.0,12.07,1.0
CPLE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.81,2030.0,7.33,1.0
DOPD,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.88,2035.0,6.76,1.0
DUK,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,7.43,2030.0,7.88,1.0
EPE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.65,2030.0,5.84,1.0
ERCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.26,2030.0,6.17,1.0
FMPP,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.17,2030.0,5.17,1.0
FPC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.19,2030.0,5.0,1.0
FPL,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.38,2030.0,5.22,1.0
GCPD,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.15,2035.0,9.06,1.0
GVL,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.2,1.0
HST,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.21,1.0
IID,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.68,2035.0,12.54,1.0
IPCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,10.27,2035.0,12.07,1.0
ISNE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.43,2030.0,5.66,1.0
JEA,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.16,2030.0,5.29,1.0
LDWP,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.77,2035.0,12.77,1.0
LGEE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.53,2030.0,7.0,1.0
MISO,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,7.97,2030.0,7.69,1.0
NEVP,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,10.35,2035.0,11.38,1.0
NSB,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.21,1.0
NWMT,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.17,2035.0,11.58,1.0
NYIS,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.04,2030.0,5.84,1.0
PACE,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,10.97,2035.0,10.82,1.0
PACW,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,7.88,2035.0,8.58,1.0
PGE,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,7.81,2035.0,7.99,1.0
PJM,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.88,2030.0,6.89,1.0
PNM,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.59,2030.0,5.91,1.0
PSCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.9,2030.0,6.82,1.0
PSEI,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.2,2035.0,9.17,1.0
SC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,9.72,2030.0,9.81,1.0
SCEG,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,9.66,2030.0,9.8,1.0
SCL,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.17,2035.0,9.16,1.0
SEC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.22,2030.0,5.2,1.0
SOCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.92,2035.0,11.88,1.0
SPA,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.5,2035.0,11.53,1.0
SRP,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,10.12,2030.0,10.24,1.0
SWPP,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.99,2035.0,11.96,1.0
TAL,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.2,1.0
TEC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.1,1.0
TEPC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,10.47,2030.0,10.89,1.0
TIDC,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.93,2035.0,13.27,1.0
TPWR,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.2,2035.0,9.12,1.0
TVA,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.14,2030.0,6.53,1.0
WACM,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.37,2030.0,5.56,1.0
WALC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.95,2030.0,6.67,1.0
WAUW,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.06,2035.0,12.01,1.0
AEC,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.27,2035.0,7.25,4.0
AECI,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.35,2035.0,7.79,4.0
AVA,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.19,2035.0,6.34,4.0
AZPS,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,7.58,2030.0,8.74,4.0
BANC,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.65,2035.0,7.14,4.0
BPAT,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,5.45,2035.0,5.6,4.0
CHPD,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.23,2035.0,5.92,4.0
CISO,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.5,2035.0,5.8,4.0
CPLE,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,11.3,2030.0,5.11,4.0
DOPD,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.24,2040.0,11.44,4.0
DUK,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.61,2030.0,6.03,4.0
EPE,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.91,2035.0,8.02,4.0
ERCO,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.13,2035.0,9.17,4.0
FMPP,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.79,2035.0,8.66,4.0
FPC,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.8,2035.0,8.57,4.0
FPL,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.05,2035.0,8.83,4.0
GCPD,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.34,2035.0,6.18,4.0
GVL,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.81,2035.0,8.81,4.0
HST,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.81,2035.0,8.82,4.0
IID,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.44,2035.0,6.32,4.0
IPCO,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.35,2035.0,8.57,4.0
ISNE,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.46,2035.0,9.69,4.0
JEA,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.79,2035.0,8.87,4.0
LDWP,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.54,2035.0,6.54,4.0
LGEE,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.94,2035.0,10.27,4.0
MISO,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,10.73,2035.0,10.49,4.0
NEVP,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.29,2035.0,7.23,4.0
NSB,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.81,2035.0,8.81,4.0
NWMT,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,5.34,2035.0,5.76,4.0
NYIS,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.21,2035.0,8.73,4.0
PACE,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,5.65,2035.0,5.33,4.0
PACW,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,8.99,2035.0,5.41,4.0
PGE,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,5.16,2020.0,5.05,4.0
PJM,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.8,2035.0,9.79,4.0
PNM,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.81,2035.0,7.85,4.0
PSCO,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.53,2035.0,8.42,4.0
PSEI,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.4,2035.0,6.28,4.0
SC,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,7.8,2030.0,7.82,4.0
SCEG,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,7.75,2030.0,7.88,4.0
SCL,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.37,2035.0,6.37,4.0
SEC,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.8,2035.0,8.39,4.0
SOCO,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.61,2035.0,8.84,4.0
SPA,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.71,2035.0,6.71,4.0
SRP,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,6.65,2030.0,6.75,4.0
SWPP,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.31,2035.0,6.44,4.0
TAL,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.81,2035.0,8.81,4.0
TEC,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.78,2035.0,8.66,4.0
TEPC,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,7.02,2030.0,7.62,4.0
TIDC,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.71,2035.0,7.01,4.0
TPWR,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,6.41,2035.0,6.31,4.0
TVA,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,9.78,2035.0,10.26,4.0
WACM,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,7.43,2035.0,7.58,4.0
WALC,rcp85hotter_ssp5,rcp85hotter_ssp3,2035.0,8.92,2035.0,9.29,4.0
WAUW,rcp85hotter_ssp5,rcp85hotter_ssp3,2040.0,9.41,2035.0,5.67,4.0
AEC,rcp85hotter_ssp3,rcp85cooler_ssp3,2085.0,5.15,,,11.0
AECI,rcp85hotter_ssp3,rcp85cooler_ssp3,2060.0,5.3,2070.0,5.33,11.0
AVA,rcp85hotter_ssp3,rcp85cooler_ssp3,,,2075.0,5.33,11.0
AZPS,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
BANC,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
BPAT,rcp85hotter_ssp3,rcp85cooler_ssp3,,,2065.0,5.56,11.0
CHPD,rcp85hotter_ssp3,rcp85cooler_ssp3,,,2065.0,6.27,11.0
CISO,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
CPLE,rcp85hotter_ssp3,rcp85cooler_ssp3,2090.0,5.61,,,11.0
DOPD,rcp85hotter_ssp3,rcp85cooler_ssp3,,,,,11.0
DUK,rcp85hotter_ssp3,rcp85cooler_ssp3,2090.0,5.34,2090.0,5.85,11.0
