Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,86.04,0.76,148.13,0.92,181.25,0.96
2020,Arizona,76.86,0.73,101.37,0.56,29.029999999998836,0.13
2020,Arkansas,31.87,0.55,36.52,0.45,9.579999999999927,0.1
2020,California,184.24,0.48,278.21,0.5,91.92999999999302,0.13
2020,Colorado,92.91,1.29,110.51,1.13,102.45999999999913,0.87
2020,Connecticut,23.27,0.62,47.79,0.96,61.720000000000255,0.97
2020,Delaware,8.24,0.54,16.66,0.78,16.950000000000273,0.64
2020,District of Columbia,9.01,0.57,18.57,0.83,27.829999999999927,1.01
2020,Florida,268.53,0.83,459.71,0.96,1070.729999999996,1.95
2020,Georgia,165.16,0.91,264.54,1.01,311.7900000000009,1.02
2020,Idaho,15.77,0.5,25.1,0.59,34.42999999999938,0.63
2020,Illinois,194.05,1.1,258.33,1.03,123.7300000000032,0.41
2020,Indiana,293.86,2.42,378.8,2.26,342.2999999999993,1.73
2020,Iowa,22.75,0.37,41.05,0.49,35.0,0.36
2020,Kansas,31.66,0.56,62.8,0.78,72.65999999999985,0.76
2020,Kentucky,152.29,1.59,207.93,1.52,165.27000000000044,0.98
2020,Louisiana,47.66,0.43,64.74,0.44,21.61999999999898,0.12
2020,Maine,11.4,0.79,19.13,0.99,13.279999999999745,0.54
2020,Maryland,48.84,0.56,101.4,0.82,147.46000000000095,0.97
2020,Massachusetts,45.97,0.63,92.76,0.96,113.98999999999978,0.92
2020,Michigan,220.08,1.78,272.86,1.63,309.27999999999884,1.55
2020,Minnesota,31.96,0.37,54.15,0.47,12.860000000000582,0.09
2020,Mississippi,40.0,0.66,50.35,0.6,33.469999999999345,0.34
2020,Missouri,95.82,0.9,103.85,0.68,46.890000000003056,0.26
2020,Montana,5.49,0.31,9.43,0.43,7.570000000000164,0.3
2020,Nebraska,21.91,0.53,52.08,0.91,77.03999999999996,1.14
2020,Nevada,23.57,0.45,46.85,0.61,27.44000000000051,0.29
2020,New Hampshire,9.4,0.64,18.39,0.95,20.88000000000011,0.85
