Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,142.22,1.32,198.92,1.24,202.37000000000262,1.08
2020,Arizona,215.32,2.06,350.0,1.98,254.86999999999898,1.19
2020,Arkansas,63.27,1.1,87.84,1.08,84.72000000000116,0.89
2020,California,538.78,1.42,907.99,1.66,1033.9700000000012,1.42
2020,Colorado,204.2,2.89,255.18,2.66,361.65999999999985,3.13
2020,Connecticut,35.71,0.95,72.9,1.43,86.76999999999953,1.33
2020,Delaware,22.21,1.5,37.93,1.73,53.14000000000033,1.99
2020,District of Columbia,15.73,1.01,28.81,1.27,40.0,1.44
2020,Florida,505.46,1.62,709.54,1.5,102.33000000000175,0.19
2020,Georgia,191.63,1.09,286.29,1.11,374.2099999999991,1.23
2020,Idaho,29.35,0.96,39.07,0.92,59.93000000000029,1.1
2020,Illinois,325.22,1.84,519.72,2.04,673.6200000000026,2.21
2020,Indiana,374.98,3.09,551.19,3.26,668.6000000000022,3.37
2020,Iowa,50.19,0.84,72.32,0.87,67.54000000000087,0.69
2020,Kansas,47.8,0.9,64.24,0.8,61.01999999999862,0.64
2020,Kentucky,241.91,2.57,365.05,2.66,384.67999999999665,2.31
2020,Louisiana,130.5,1.2,191.27,1.28,214.41999999999825,1.22
2020,Maine,18.52,1.3,33.89,1.73,44.399999999999636,1.78
2020,Maryland,84.05,0.98,154.88,1.24,214.38000000000102,1.4
2020,Massachusetts,60.12,0.82,130.04,1.31,142.85000000000036,1.13
2020,Michigan,292.1,2.37,426.33,2.52,511.1399999999994,2.57
2020,Minnesota,50.59,0.59,81.88,0.71,80.54999999999927,0.59
2020,Mississippi,79.23,1.34,113.13,1.35,85.44000000000051,0.86
2020,Missouri,138.04,1.29,187.16,1.2,147.3100000000013,0.81
2020,Montana,21.04,1.22,22.76,1.03,24.809999999999945,0.99
2020,Nebraska,33.33,0.88,44.15,0.78,40.909999999999854,0.61
2020,Nevada,56.34,1.15,97.78,1.28,128.77000000000044,1.36
2020,New Hampshire,14.33,1.0,28.69,1.47,34.88000000000011,1.4
2020,New Jersey,108.32,1.06,193.69,1.3,284.40000000000146,1.56
2020,New Mexico,98.31,3.51,132.14,3.26,167.07999999999993,3.56
2020,New York,230.71,1.13,399.8,1.39,553.5499999999956,1.53
2020,North Carolina,195.11,1.11,276.98,1.07,90.52999999999884,0.29
2020,North Dakota,9.87,0.43,16.18,0.51,17.5300000000002,0.47
2020,Ohio,415.39,2.31,678.93,2.54,922.9599999999991,2.83
2020,Oklahoma,108.94,1.44,142.79,1.23,157.6900000000005,1.14
2020,Oregon,54.01,0.85,53.58,0.65,36.73999999999978,0.35
2020,Pennsylvania,185.86,1.0,340.77,1.26,473.65000000000146,1.43
2020,Rhode Island,9.03,0.89,18.91,1.38,21.809999999999945,1.25
2020,South Carolina,123.43,1.19,165.24,1.08,432.5499999999993,2.3
2020,South Dakota,8.97,0.59,11.78,0.55,8.059999999999945,0.32
2020,Tennessee,164.08,1.26,242.68,1.28,295.119999999999,1.3
2020,Texas,676.5,1.33,977.79,1.28,992.6300000000047,1.11
2020,Utah,44.19,1.04,57.57,1.03,52.89000000000033,0.8
2020,Vermont,6.32,0.9,13.17,1.38,15.279999999999973,1.26
2020,Virginia,157.0,1.04,282.97,1.29,387.09000000000015,1.45
2020,Washington,96.48,0.77,83.94,0.51,66.09000000000015,0.31
2020,West Virginia,105.21,2.85,169.14,3.09,226.1899999999996,3.38
2020,Wisconsin,151.15,1.79,222.48,1.94,267.2000000000007,1.97
2020,Wyoming,65.96,3.55,79.78,3.36,92.44000000000005,3.36
2025,Alabama,214.51,1.97,330.5,2.13,326.380000000001,1.44
2025,Arizona,380.19,3.43,636.52,3.49,749.130000000001,3.36
2025,Arkansas,113.49,1.96,170.75,2.16,258.22000000000116,2.86
2025,California,897.13,2.29,1341.71,2.33,1433.1800000000076,1.9
2025,Colorado,358.28,4.8,484.14,4.85,456.21000000000095,3.77
2025,Connecticut,48.29,1.37,78.7,1.64,132.23999999999978,2.19
2025,Delaware,36.13,2.5,56.72,2.72,46.38999999999987,1.85
2025,District of Columbia,21.52,1.44,36.11,1.67,19.63000000000011,0.76
2025,Florida,735.67,2.38,1144.59,2.51,957.6299999999974,1.7
2025,Georgia,310.31,1.77,489.33,1.96,500.8700000000026,1.39
2025,Idaho,62.92,1.89,102.29,2.27,91.30000000000018,1.62
2025,Illinois,464.5,2.71,699.81,2.91,701.130000000001,2.48
2025,Indiana,671.98,5.6,938.67,5.8,1138.1800000000003,6.09
2025,Iowa,85.24,1.44,130.2,1.62,199.5600000000013,2.17
2025,Kansas,102.61,1.97,161.23,2.12,198.03000000000065,2.26
2025,Kentucky,354.45,3.79,510.22,3.85,320.7900000000009,2.0
2025,Louisiana,192.15,1.76,286.37,1.96,365.25,2.19
2025,Maine,28.26,2.08,41.9,2.26,69.49000000000024,2.97
2025,Maryland,118.92,1.45,199.11,1.69,109.86999999999898,0.78
2025,Massachusetts,77.08,1.1,134.76,1.42,221.35000000000036,1.85
2025,Michigan,553.69,4.57,766.87,4.76,902.6800000000003,4.91
2025,Minnesota,101.08,1.2,156.13,1.39,178.42000000000007,1.39
2025,Mississippi,128.82,2.15,188.38,2.29,62.93999999999869,0.61
2025,Missouri,288.15,2.8,417.05,2.9,693.1000000000004,4.21
2025,Montana,46.28,2.6,61.53,2.73,75.59000000000015,2.87
2025,Nebraska,51.32,1.38,83.2,1.54,99.17000000000007,1.59
2025,Nevada,117.94,2.36,191.52,2.4,209.95000000000073,2.17
2025,New Hampshire,17.28,1.24,28.98,1.53,48.44999999999982,2.03
2025,New Jersey,159.68,1.67,259.69,1.89,171.13999999999942,1.04
2025,New Mexico,168.42,5.77,234.32,5.74,278.9800000000005,5.87
2025,New York,330.51,1.67,529.47,1.93,829.7099999999991,2.44
2025,North Carolina,312.52,1.76,552.16,2.19,282.6900000000023,0.81
2025,North Dakota,11.53,0.48,18.26,0.57,48.960000000000036,1.32
2025,Ohio,797.72,4.54,1208.67,4.77,1186.9000000000015,3.9
2025,Oklahoma,167.62,2.2,256.29,2.29,347.60999999999876,2.69
2025,Oregon,106.02,1.6,124.84,1.45,114.26999999999862,1.11
2025,Pennsylvania,328.39,1.84,531.91,2.07,366.1100000000006,1.19
2025,Rhode Island,11.78,1.22,19.83,1.52,33.13000000000011,2.01
2025,South Carolina,196.07,1.86,338.13,2.24,68.45999999999913,0.32
2025,South Dakota,21.06,1.4,32.42,1.55,45.85999999999967,1.93
2025,Tennessee,245.43,1.88,364.41,1.95,7.240000000001601,0.03
2025,Texas,1090.53,2.11,1773.66,2.35,2330.3600000000006,2.7
2025,Utah,84.9,1.81,122.63,1.98,112.64000000000033,1.53
2025,Vermont,8.44,1.26,14.06,1.55,23.559999999999945,2.06
2025,Virginia,147.25,1.0,265.94,1.26,62.5099999999984,0.25
2025,Washington,161.13,1.22,158.29,0.9,91.52999999999884,0.44
2025,West Virginia,161.35,4.58,244.37,4.81,240.40999999999985,3.94
2025,Wisconsin,285.88,3.41,399.33,3.61,438.1999999999989,3.47
2025,Wyoming,115.37,6.11,149.58,6.26,170.83000000000038,6.06
2030,Alabama,273.35,2.47,374.69,2.21,439.52000000000044,2.17
2030,Arizona,442.44,3.78,755.25,4.04,998.7299999999996,4.12
2030,Arkansas,168.71,2.78,249.32,2.91,308.5500000000011,3.05
2030,California,933.53,2.26,1617.22,2.72,1988.0299999999988,2.6
2030,Colorado,313.71,3.97,445.08,4.16,385.0100000000002,2.9
2030,Connecticut,39.45,1.09,79.23,1.61,104.46999999999935,1.75
2030,Delaware,45.13,2.99,73.21,3.3,69.55999999999995,2.54
2030,District of Columbia,28.82,1.93,48.85,2.24,39.24000000000024,1.46
2030,Florida,1130.34,3.62,1671.15,3.59,1848.510000000002,3.55
2030,Georgia,397.72,2.25,536.71,1.96,632.9599999999991,1.95
2030,Idaho,102.42,2.91,167.66,3.4,243.98000000000047,4.13
2030,Illinois,539.18,3.08,849.57,3.39,738.369999999999,2.43
2030,Indiana,727.52,5.81,1065.88,6.11,1120.3600000000006,5.37
2030,Iowa,62.66,1.02,98.27,1.15,106.04999999999927,1.05
2030,Kansas,46.83,0.85,69.3,0.84,163.09000000000015,1.66
2030,Kentucky,511.14,5.25,803.4,5.66,918.1600000000035,5.3
2030,Louisiana,226.96,2.04,347.98,2.27,361.41999999999825,2.0
2030,Maine,22.06,1.59,38.98,2.04,55.159999999999854,2.38
2030,Maryland,142.87,1.71,245.57,2.02,184.04999999999927,1.23
2030,Massachusetts,60.96,0.83,134.27,1.37,154.77999999999884,1.3
2030,Michigan,589.43,4.82,859.14,5.12,893.0,4.49
2030,Minnesota,90.33,1.05,149.62,1.28,113.1299999999992,0.82
2030,Mississippi,166.22,2.74,242.51,2.77,244.8700000000008,2.38
2030,Missouri,295.57,2.75,425.94,2.73,585.5199999999968,3.14
2030,Montana,74.27,4.0,102.21,4.25,90.42000000000007,3.29
2030,Nebraska,49.55,1.27,68.39,1.16,157.46000000000004,2.26
2030,Nevada,236.11,4.44,385.4,4.65,482.8099999999995,4.87
2030,New Hampshire,15.51,1.07,31.37,1.59,41.09999999999991,1.71
2030,New Jersey,213.0,2.24,352.53,2.54,293.9400000000023,1.72
2030,New Mexico,144.98,4.7,215.57,4.97,250.14000000000033,4.76
2030,New York,222.34,1.08,460.85,1.64,38.56999999999971,0.11
2030,North Carolina,364.47,2.0,651.59,2.42,634.1100000000006,1.96
2030,North Dakota,35.93,1.5,49.67,1.44,29.750000000000455,0.73
2030,Ohio,868.83,4.83,1364.21,5.14,1436.1500000000015,4.39
2030,Oklahoma,92.58,1.15,126.11,1.03,275.5,1.87
2030,Oregon,131.23,1.91,199.09,2.2,144.54000000000087,1.31
2030,Pennsylvania,326.01,1.77,558.33,2.09,427.0699999999997,1.29
2030,Rhode Island,11.37,1.15,22.41,1.66,30.00999999999999,1.83
2030,South Carolina,267.33,2.44,458.46,2.83,527.0499999999993,2.71
2030,South Dakota,20.4,1.33,29.43,1.35,45.210000000000036,1.77
2030,Tennessee,290.8,2.19,428.13,2.15,391.8600000000006,1.61
2030,Texas,980.97,1.83,1467.37,1.83,2355.949999999997,2.51
2030,Utah,151.14,2.99,233.83,3.5,285.28000000000065,3.57
2030,Vermont,8.14,1.19,15.8,1.7,21.399999999999864,1.89
2030,Virginia,217.57,1.42,380.66,1.71,249.37000000000262,0.91
2030,Washington,145.2,1.07,148.8,0.82,193.90000000000146,0.86
2030,West Virginia,167.02,4.7,262.62,5.01,275.28000000000065,4.26
2030,Wisconsin,285.21,3.35,423.47,3.65,419.97999999999956,3.07
2030,Wyoming,81.58,4.16,115.75,4.62,133.92000000000007,4.5
2035,Alabama,326.13,2.9,585.32,3.58,720.9500000000007,3.66
2035,Arizona,419.88,3.43,767.03,3.86,855.5300000000025,3.45
2035,Arkansas,198.83,3.29,345.54,4.09,412.64999999999964,4.16
2035,California,726.03,1.68,1571.32,2.6,1334.9899999999907,1.78
2035,Colorado,187.76,2.21,351.32,3.02,419.65000000000146,2.93
2035,Connecticut,32.86,0.89,65.81,1.33,53.23000000000047,0.85
2035,Delaware,54.82,3.55,98.43,4.3,90.3100000000004,3.3
2035,District of Columbia,26.75,1.8,55.12,2.55,39.33999999999969,1.52
2035,Florida,1020.14,3.29,1561.34,3.42,1427.1100000000006,2.68
2035,Georgia,435.31,2.4,823.83,3.14,997.989999999998,3.14
2035,Idaho,91.02,2.48,177.45,3.54,168.03999999999996,2.76
2035,Illinois,272.26,1.57,564.7,2.3,696.1900000000023,2.39
2035,Indiana,793.3,6.33,1251.58,7.05,1470.7599999999984,7.01
2035,Iowa,46.3,0.75,50.7,0.58,34.969999999999345,0.34
2035,Kansas,46.65,0.77,100.85,1.19,149.92000000000007,1.49
2035,Kentucky,588.9,6.07,955.46,6.76,967.1100000000006,5.73
2035,Louisiana,261.44,2.36,474.38,3.1,547.4000000000015,3.04
2035,Maine,16.41,1.17,23.08,1.2,4.980000000000018,0.2
2035,Maryland,161.88,1.91,329.2,2.66,242.03999999999905,1.63
2035,Massachusetts,71.64,0.99,121.28,1.24,69.42000000000007,0.56
2035,Michigan,643.64,5.35,1015.88,6.06,1174.5,5.94
2035,Minnesota,97.73,1.18,67.69,0.57,69.03000000000065,0.49
2035,Mississippi,186.46,3.05,322.9,3.76,337.1700000000001,3.33
2035,Missouri,202.05,1.85,423.66,2.78,552.25,3.09
2035,Montana,67.98,3.56,106.77,4.4,149.9100000000003,5.41
2035,Nebraska,33.82,0.85,52.56,0.92,70.21000000000004,1.03
2035,Nevada,169.07,2.98,335.71,3.84,364.1700000000001,3.44
2035,New Hampshire,13.44,0.9,26.35,1.32,20.610000000000127,0.81
2035,New Jersey,282.74,2.92,517.18,3.64,464.02000000000044,2.73
2035,New Mexico,89.03,2.74,159.24,3.46,177.9900000000007,3.25
2035,New York,186.84,0.9,406.23,1.44,263.8199999999997,0.77
2035,North Carolina,384.76,2.1,729.59,2.76,639.2599999999984,1.97
2035,North Dakota,128.48,5.26,156.14,4.41,169.4399999999996,4.08
2035,Ohio,964.67,5.4,1640.11,6.14,1640.7599999999984,5.15
2035,Oklahoma,72.2,0.82,145.69,1.18,208.38000000000102,1.41
2035,Oregon,149.26,2.14,212.41,2.38,294.40999999999985,2.78
2035,Pennsylvania,414.21,2.18,815.99,2.93,639.1599999999962,1.92
2035,Rhode Island,8.96,0.87,18.67,1.37,16.029999999999973,0.93
2035,South Carolina,299.68,2.73,528.64,3.34,580.5999999999985,2.97
2035,South Dakota,13.05,0.87,12.34,0.57,10.650000000000091,0.42
2035,Tennessee,310.73,2.34,553.31,2.88,377.7999999999993,1.64
2035,Texas,824.58,1.48,1416.92,1.71,1646.4900000000052,1.68
2035,Utah,94.23,1.74,178.74,2.5,170.08000000000175,2.0
2035,Vermont,6.06,0.86,13.27,1.42,12.230000000000018,1.03
2035,Virginia,250.08,1.61,526.78,2.35,341.8500000000022,1.27
2035,Washington,199.9,1.47,144.1,0.82,174.86999999999898,0.8
2035,West Virginia,170.01,4.88,292.39,5.62,287.27999999999975,4.62
2035,Wisconsin,113.82,1.32,232.15,1.99,251.76999999999862,1.83
2035,Wyoming,35.57,1.68,66.93,2.48,61.909999999999854,1.96
2040,Alabama,379.39,3.26,712.1,4.2,836.7200000000012,4.19
2040,Arizona,228.54,1.73,440.69,2.13,441.76000000000204,1.78
2040,Arkansas,261.76,4.15,433.67,4.98,534.0199999999986,5.35
2040,California,343.06,0.76,713.94,1.16,670.8399999999965,0.87
2040,Colorado,65.31,0.68,159.59,1.28,106.72000000000116,0.73
2040,Connecticut,71.47,2.02,70.74,1.47,253.8199999999997,4.19
2040,Delaware,68.61,4.48,118.36,5.45,89.83999999999969,3.41
2040,District of Columbia,33.78,2.41,66.24,3.38,31.559999999999945,1.33
2040,Florida,1058.05,3.35,1828.28,3.89,2138.029999999999,3.99
2040,Georgia,561.96,2.98,1085.18,3.96,1147.0300000000025,3.57
2040,Idaho,80.94,2.12,158.25,2.99,209.73999999999978,3.16
2040,Illinois,202.68,1.23,185.17,0.78,421.5099999999984,1.49
