Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,AEC,8.06,1.43,13.29,1.55,27.559999999999945,2.47
2020,AECI,49.48,1.91,89.87,2.28,28.67999999999938,0.6
2020,AVA,18.92,1.26,15.83,0.75,6.0300000000002,0.23
2020,AZPS,52.77,1.19,123.33,1.8,56.42000000000007,0.66
2020,BANC,29.5,1.23,69.61,1.94,234.22999999999956,4.5
2020,BPAT,81.57,1.14,86.31,0.95,54.61000000000058,0.44
2020,CHPD,4.2,1.81,4.49,1.14,2.6100000000000136,0.45
2020,CISO,304.12,0.98,596.84,1.38,594.189999999995,1.03
2020,CPLE,110.94,1.53,180.51,1.69,34.67000000000007,0.26
2020,DOPD,3.49,1.67,3.19,1.01,2.3100000000000023,0.52
2020,DUK,156.72,1.21,305.04,1.69,25.37000000000262,0.12
2020,EPE,12.57,1.17,29.58,1.88,30.070000000000164,1.58
2020,ERCO,371.92,0.95,447.32,0.75,237.63999999999942,0.34
2020,FMPP,28.27,1.2,53.32,1.57,0.2300000000000182,0.01
2020,FPC,96.89,1.38,173.26,1.61,122.70000000000073,0.96
2020,FPL,178.74,1.1,319.64,1.36,149.97999999999956,0.57
2020,GCPD,5.92,0.86,8.29,0.99,3.259999999999991,0.33
2020,GVL,4.62,1.78,7.86,2.01,8.879999999999995,1.85
2020,HST,1.1,1.59,1.38,1.35,0.5899999999999892,0.52
2020,IID,7.64,1.43,16.33,1.74,20.8599999999999,1.64
2020,IPCO,28.17,1.32,69.21,2.3,162.8199999999997,4.13
2020,ISNE,260.95,1.48,632.65,2.73,992.3300000000017,3.37
2020,JEA,26.07,1.55,37.33,1.52,49.79999999999973,1.64
2020,LDWP,49.32,1.22,125.91,2.18,292.02000000000044,3.78
2020,LGEE,46.89,1.22,91.4,1.71,43.340000000000146,0.66
2020,MISO,585.6,0.7,1379.22,1.29,882.2399999999907,0.7
2020,NEVP,60.62,1.17,131.19,1.66,109.01000000000022,1.1
2020,NSB,1.17,2.13,2.19,2.52,0.7099999999999937,0.64
2020,NWMT,9.53,0.9,11.65,0.9,14.77000000000021,0.98
2020,NYIS,290.6,1.37,780.95,2.78,886.1500000000015,2.5
2020,PACE,63.01,0.94,169.58,2.04,194.4300000000003,1.97
2020,PACW,32.01,1.21,44.41,1.32,23.769999999999527,0.55
2020,PGE,36.58,1.4,59.56,1.76,82.19999999999982,1.81
2020,PJM,1150.25,1.05,3130.63,2.12,4143.940000000002,2.3
2020,PNM,17.85,0.95,40.26,1.6,20.470000000000255,0.69
2020,PSCO,51.17,0.93,128.94,1.79,122.5,1.38
2020,PSEI,39.99,1.04,38.0,0.73,32.029999999999745,0.49
2020,SC,47.46,1.42,79.01,1.66,70.23000000000047,1.11
2020,SCEG,46.1,1.32,86.32,1.78,2.0200000000004366,0.03
2020,SCL,11.82,0.91,12.63,0.74,7.610000000000127,0.36
2020,SEC,2.4,1.43,3.18,1.25,4.579999999999984,1.52
2020,SOCO,296.5,1.05,507.53,1.27,712.6699999999983,1.51
2020,SPA,0.8,1.05,1.11,1.07,1.1299999999999955,0.95
2020,SRP,50.04,1.16,118.77,1.77,73.16000000000167,0.89
2020,SWPP,393.97,1.15,780.59,1.63,766.25,1.34
2020,TAL,5.69,1.6,9.56,1.81,7.1099999999999,1.09
2020,TEC,41.9,1.53,60.13,1.47,15.4399999999996,0.33
2020,TEPC,25.68,1.28,57.5,1.9,11.25,0.3
2020,TIDC,4.03,1.1,9.37,1.68,17.24000000000001,2.26
2020,TPWR,7.3,1.14,7.46,0.85,0.25,0.02
2020,TVA,220.24,1.04,435.63,1.47,382.5300000000061,1.08
2020,WACM,30.34,0.91,53.5,1.31,11.589999999999236,0.24
2020,WALC,8.39,0.73,11.28,0.69,7.120000000000118,0.38
2020,WAUW,1.58,1.81,2.49,2.17,2.5,1.79
2025,AEC,12.1,2.06,16.82,1.9,13.539999999999964,0.79
2025,AECI,57.03,2.17,107.77,2.76,67.59000000000015,1.18
2025,AVA,25.58,1.54,20.56,0.87,5.929999999999836,0.21
2025,AZPS,62.8,1.31,143.37,1.91,183.51000000000022,1.96
2025,BANC,43.05,1.68,84.25,2.11,98.88000000000011,1.79
2025,BPAT,104.91,1.33,140.4,1.35,180.61999999999898,1.43
2025,CHPD,5.22,2.04,5.65,1.28,2.5299999999999727,0.45
2025,CISO,338.58,1.05,501.19,1.08,358.6599999999962,0.58
2025,CPLE,180.52,2.36,300.88,2.75,475.8299999999999,2.87
2025,DOPD,4.69,2.0,4.71,1.32,1.8199999999999932,0.44
2025,DUK,252.82,1.88,447.44,2.42,820.4099999999999,3.22
2025,EPE,13.51,1.23,28.54,1.79,27.779999999999973,1.41
2025,ERCO,536.01,1.29,757.88,1.24,512.2600000000093,0.73
2025,FMPP,36.09,1.5,56.77,1.65,62.48999999999978,1.42
2025,FPC,136.29,1.88,211.9,1.95,257.2600000000002,1.65
2025,FPL,227.05,1.37,384.69,1.64,417.6299999999974,1.54
2025,GCPD,7.86,1.03,13.29,1.41,11.049999999999955,1.01
2025,GVL,6.43,2.33,12.31,3.1,3.7800000000000864,0.68
2025,HST,1.23,1.73,1.62,1.57,1.0,0.88
2025,IID,7.59,1.4,14.16,1.4,20.439999999999827,1.54
2025,IPCO,39.73,1.64,88.04,2.61,79.20000000000073,1.83
2025,ISNE,275.96,1.57,603.7,2.68,331.1800000000003,1.15
2025,JEA,36.08,2.03,63.04,2.52,27.720000000000255,0.61
2025,LDWP,53.8,1.3,106.4,1.73,56.80999999999949,0.69
2025,LGEE,69.68,1.77,110.31,2.05,163.4300000000003,2.26
2025,MISO,834.54,0.97,1955.4,1.83,1467.3500000000058,1.2
2025,NEVP,69.96,1.26,142.99,1.66,129.88000000000102,1.22
2025,NSB,1.42,2.51,2.37,2.69,1.4399999999999977,1.01
2025,NWMT,10.58,0.95,12.89,0.92,31.079999999999927,1.94
2025,NYIS,321.95,1.53,787.5,2.88,709.1900000000023,2.07
2025,PACE,80.22,1.08,204.64,2.23,141.92000000000007,1.29
2025,PACW,41.87,1.46,58.54,1.61,101.6899999999996,2.35
2025,PGE,46.7,1.65,76.56,2.07,6.579999999999927,0.14
2025,PJM,1587.95,1.48,3297.62,2.29,3547.3700000000244,2.05
2025,PNM,20.96,1.04,39.28,1.46,1.150000000000091,0.04
2025,PSCO,67.8,1.12,173.51,2.21,122.68000000000029,1.28
2025,PSEI,49.8,1.18,45.87,0.79,73.44000000000051,1.05
2025,SC,68.03,1.94,116.33,2.37,199.46000000000004,2.72
2025,SCEG,67.04,1.85,114.35,2.29,212.57999999999993,3.03
2025,SCL,13.75,0.98,13.84,0.74,9.700000000000273,0.44
2025,SEC,3.08,1.74,4.05,1.49,7.430000000000007,1.55
2025,SOCO,513.24,1.77,826.79,2.08,564.0900000000038,0.96
2025,SPA,1.03,1.33,1.27,1.2,0.18000000000000682,0.14
2025,SRP,60.5,1.32,127.99,1.74,96.78000000000065,1.07
2025,SWPP,525.04,1.47,1421.19,3.01,1355.8199999999997,2.48
2025,TAL,8.08,2.19,11.81,2.2,6.699999999999932,0.75
2025,TEC,52.96,1.86,73.52,1.79,98.05999999999949,1.96
2025,TEPC,29.44,1.38,66.57,2.04,87.83999999999969,2.14
2025,TIDC,5.21,1.35,9.69,1.6,14.949999999999932,1.88
2025,TPWR,8.84,1.26,10.46,1.06,13.800000000000182,1.17
2025,TVA,374.11,1.69,682.36,2.26,282.9599999999991,0.65
2025,WACM,37.75,1.03,67.97,1.54,95.98999999999978,1.86
2025,WALC,9.82,0.81,10.42,0.59,14.610000000000127,0.69
2025,WAUW,1.64,1.74,3.16,2.52,3.0299999999999727,2.06
2030,AEC,13.93,2.25,20.53,2.1,1.849999999999909,0.16
2030,AECI,61.18,2.25,107.05,2.54,35.539999999999964,0.67
2030,AVA,32.91,1.79,36.62,1.44,60.54999999999973,1.91
2030,AZPS,80.94,1.6,131.19,1.6,149.82000000000153,1.37
2030,BANC,59.26,2.17,110.77,2.65,113.6899999999996,1.9
2030,BPAT,144.73,1.73,147.6,1.34,136.17000000000007,0.94
2030,CHPD,6.52,2.37,5.05,1.09,7.720000000000027,1.18
2030,CISO,450.29,1.27,773.72,1.57,1121.4400000000023,1.75
2030,CPLE,182.39,2.25,302.61,2.51,82.80999999999949,0.56
2030,DOPD,5.69,2.28,6.67,1.85,5.0,1.04
2030,DUK,251.7,1.73,425.21,2.06,212.14999999999782,0.85
2030,EPE,17.19,1.46,30.35,1.72,16.700000000000273,0.71
2030,ERCO,607.32,1.38,751.6,1.11,777.6000000000058,0.99
2030,FMPP,43.69,1.68,84.42,2.3,54.05000000000018,1.3
2030,FPC,163.32,2.1,285.36,2.45,187.39999999999964,1.41
2030,FPL,288.04,1.6,520.25,2.05,254.30999999999767,0.9
2030,GCPD,9.51,1.18,11.69,1.14,0.41000000000008185,0.03
2030,GVL,7.27,2.5,12.91,3.02,13.350000000000023,2.62
2030,HST,1.62,2.1,2.22,2.01,0.09000000000000341,0.07
2030,IID,11.09,1.91,17.71,1.66,11.529999999999973,0.81
