Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,130.23,1.19,198.18,1.25,59.7599999999984,0.32
2020,Arizona,106.19,0.96,225.13,1.3,165.13999999999942,0.78
2020,Arkansas,58.1,0.98,104.24,1.31,22.549999999999272,0.24
2020,California,292.57,0.74,739.48,1.37,448.1200000000099,0.62
2020,Colorado,69.42,0.96,148.36,1.57,26.529999999998836,0.23
2020,Connecticut,49.65,1.31,107.99,2.14,114.39000000000033,1.79
2020,Delaware,17.0,1.12,32.67,1.53,19.699999999999818,0.75
2020,District of Columbia,17.75,1.12,34.03,1.52,20.429999999999836,0.74
2020,Florida,301.46,0.92,642.79,1.37,1584.1100000000006,2.94
2020,Georgia,230.34,1.29,382.17,1.49,11.130000000001019,0.04
2020,Idaho,27.74,0.85,69.75,1.66,141.1300000000001,2.63
2020,Illinois,193.89,1.06,402.86,1.62,328.2099999999991,1.1
2020,Indiana,147.72,1.18,305.58,1.86,205.55999999999767,1.06
2020,Iowa,55.01,0.9,86.2,1.05,4.709999999999127,0.05
2020,Kansas,74.35,1.33,140.83,1.79,90.4900000000016,0.96
2020,Kentucky,108.02,1.13,187.84,1.4,68.13000000000102,0.42
2020,Louisiana,97.99,0.88,166.94,1.13,46.720000000001164,0.27
2020,Maine,19.84,1.4,33.31,1.73,28.730000000000018,1.17
2020,Maryland,97.08,1.12,183.52,1.49,107.14999999999964,0.71
2020,Massachusetts,96.88,1.32,217.03,2.22,234.67000000000007,1.89
2020,Michigan,117.11,0.92,224.37,1.36,123.20999999999913,0.63
2020,Minnesota,72.61,0.84,112.67,0.98,24.13000000000102,0.18
2020,Mississippi,59.07,0.98,87.59,1.06,3.7600000000002183,0.04
2020,Missouri,159.11,1.42,320.42,2.11,135.5,0.75
2020,Montana,13.54,0.76,24.87,1.13,20.5,0.82
2020,Nebraska,45.44,1.17,69.98,1.26,17.090000000000146,0.26
2020,Nevada,45.32,0.88,106.53,1.4,108.96999999999935,1.16
2020,New Hampshire,19.64,1.38,33.85,1.76,29.960000000000036,1.22
2020,New Jersey,132.28,1.24,297.68,2.04,244.6899999999987,1.37
2020,New Mexico,24.83,0.91,31.39,0.79,7.970000000000255,0.17
2020,New York,277.85,1.3,732.41,2.6,472.6200000000026,1.33
2020,North Carolina,232.23,1.31,349.55,1.37,501.52999999999884,1.63
2020,North Dakota,21.61,0.98,25.09,0.8,23.110000000000127,0.62
2020,Ohio,217.21,1.16,453.15,1.74,318.97999999999956,1.0
2020,Oklahoma,98.56,1.27,150.08,1.32,32.6299999999992,0.24
2020,Oregon,50.74,0.77,85.63,1.05,8.239999999999782,0.08
2020,Pennsylvania,216.99,1.14,440.58,1.65,294.8600000000006,0.9
2020,Rhode Island,13.93,1.36,32.49,2.4,36.309999999999945,2.11
2020,South Carolina,137.44,1.3,232.7,1.53,146.76000000000204,0.78
2020,South Dakota,15.11,0.99,20.19,0.95,2.230000000000018,0.09
2020,Tennessee,167.41,1.28,238.71,1.28,30.950000000000728,0.14
2020,Texas,556.17,1.11,607.52,0.81,261.27999999999884,0.3
2020,Utah,33.87,0.76,93.62,1.68,140.6300000000001,2.15
2020,Vermont,9.78,1.42,15.77,1.68,13.040000000000191,1.09
2020,Virginia,169.49,1.11,315.03,1.46,192.25,0.73
2020,Washington,82.87,0.64,126.8,0.77,73.79999999999927,0.35
2020,West Virginia,41.51,1.11,72.09,1.35,34.94000000000051,0.53
2020,Wisconsin,78.03,0.9,144.69,1.28,77.95999999999913,0.58
2020,Wyoming,14.48,0.77,32.57,1.4,53.559999999999945,2.0
2025,Alabama,183.57,1.67,244.78,1.59,8.639999999999418,0.04
2025,Arizona,142.92,1.25,292.88,1.66,340.2400000000016,1.56
2025,Arkansas,75.04,1.24,170.36,2.21,119.93999999999869,1.35
2025,California,409.99,1.02,914.25,1.62,1226.229999999996,1.65
2025,Colorado,81.89,1.08,166.37,1.72,145.67000000000007,1.24
2025,Connecticut,57.98,1.6,112.5,2.4,37.98999999999978,0.64
2025,Delaware,22.87,1.59,29.86,1.47,25.789999999999964,1.05
2025,District of Columbia,23.68,1.58,32.34,1.53,29.009999999999764,1.13
2025,Florida,354.67,1.12,610.19,1.38,54.18000000000029,0.1
2025,Georgia,330.54,1.86,469.59,1.9,63.36000000000058,0.18
2025,Idaho,40.86,1.16,97.75,2.2,133.55000000000018,2.42
2025,Illinois,247.79,1.4,507.81,2.18,544.239999999998,1.97
2025,Indiana,145.8,1.2,317.25,2.04,351.90999999999985,1.96
2025,Iowa,67.86,1.11,138.91,1.76,86.34999999999854,0.95
2025,Kansas,78.42,1.44,163.68,2.21,141.07999999999993,1.64
2025,Kentucky,142.61,1.51,221.33,1.73,0.4400000000005093,0.0
2025,Louisiana,129.67,1.15,291.84,2.05,230.63999999999942,1.41
2025,Maine,22.8,1.64,40.31,2.24,7.029999999999745,0.31
2025,Maryland,129.99,1.59,167.48,1.45,142.95000000000073,1.02
2025,Massachusetts,114.94,1.59,236.36,2.54,106.15999999999985,0.9
2025,Michigan,125.21,1.03,227.81,1.46,212.23999999999796,1.19
2025,Minnesota,87.98,1.02,157.76,1.43,114.60000000000036,0.9
2025,Mississippi,84.88,1.38,146.23,1.81,83.70000000000073,0.82
2025,Missouri,144.78,1.35,297.91,2.13,173.0599999999995,1.08
2025,Montana,16.54,0.92,27.84,1.25,38.67000000000007,1.5
2025,Nebraska,54.83,1.41,112.2,2.12,91.36000000000058,1.49
2025,Nevada,63.15,1.22,134.89,1.73,149.14999999999964,1.57
2025,New Hampshire,23.24,1.63,42.16,2.28,9.230000000000018,0.39
2025,New Jersey,151.03,1.53,277.68,2.07,297.89999999999964,1.83
2025,New Mexico,30.26,1.06,44.83,1.14,8.159999999999854,0.18
2025,New York,311.73,1.53,624.25,2.34,121.88999999999942,0.36
2025,North Carolina,314.6,1.78,436.55,1.76,196.70000000000437,0.56
2025,North Dakota,28.48,1.21,42.77,1.34,8.309999999999945,0.23
2025,Ohio,273.86,1.55,461.29,1.89,471.25,1.59
2025,Oklahoma,120.09,1.51,236.83,2.18,248.45000000000073,1.97
2025,Oregon,67.07,0.97,119.68,1.39,157.64999999999964,1.53
2025,Pennsylvania,280.37,1.55,427.38,1.7,413.6899999999987,1.36
2025,Rhode Island,15.93,1.61,33.75,2.64,17.439999999999827,1.08
2025,South Carolina,181.9,1.72,244.87,1.66,119.72000000000116,0.56
2025,South Dakota,18.43,1.2,31.14,1.52,15.960000000000036,0.68
2025,Tennessee,222.34,1.69,322.43,1.75,131.9300000000003,0.5
2025,Texas,661.04,1.27,931.54,1.26,118.94999999999709,0.14
2025,Utah,49.35,1.02,117.59,1.94,139.8099999999995,1.94
2025,Vermont,11.44,1.68,19.04,2.15,1.2799999999999727,0.11
2025,Virginia,230.97,1.54,381.22,1.85,392.96000000000276,1.57
2025,Washington,106.68,0.78,157.19,0.89,36.92000000000189,0.18
2025,West Virginia,55.55,1.61,68.21,1.39,55.5,0.93
2025,Wisconsin,87.05,1.02,177.28,1.65,157.48999999999978,1.28
2025,Wyoming,18.12,0.96,36.46,1.59,45.7199999999998,1.69
2030,Alabama,173.65,1.48,346.16,2.08,467.5599999999977,2.36
2030,Arizona,151.73,1.25,340.74,1.89,254.20999999999913,1.08
2030,Arkansas,72.65,1.19,123.93,1.48,105.22999999999956,1.06
2030,California,438.78,1.06,922.37,1.58,691.8000000000029,0.92
2030,Colorado,85.71,1.04,242.36,2.33,451.0699999999997,3.51
2030,Connecticut,63.15,1.73,114.4,2.37,62.38000000000011,1.06
2030,Delaware,20.66,1.34,40.4,1.87,41.34999999999991,1.54
2030,District of Columbia,21.07,1.41,35.63,1.67,33.26999999999998,1.25
2030,Florida,405.77,1.29,690.41,1.51,548.0999999999985,1.08
2030,Georgia,287.09,1.53,558.75,2.09,672.1399999999994,2.12
2030,Idaho,50.13,1.43,93.97,1.96,132.77999999999975,2.32
2030,Illinois,209.48,1.15,497.44,2.05,729.7400000000016,2.46
2030,Indiana,152.31,1.17,409.7,2.46,575.4200000000019,2.87
2030,Iowa,67.86,1.04,176.37,2.1,190.6200000000008,1.91
2030,Kansas,94.13,1.53,283.55,3.51,197.82999999999993,2.05
2030,Kentucky,118.83,1.21,233.28,1.71,209.87999999999738,1.25
2030,Louisiana,115.52,0.98,299.45,2.0,362.90000000000146,2.05
2030,Maine,25.82,1.86,37.83,2.03,13.539999999999964,0.59
2030,Maryland,113.7,1.34,223.16,1.88,228.92000000000007,1.55
2030,Massachusetts,123.29,1.68,247.09,2.57,154.1900000000005,1.31
2030,Michigan,123.32,0.97,322.83,2.0,461.1399999999994,2.4
2030,Minnesota,87.78,1.0,168.33,1.46,226.25,1.66
2030,Mississippi,76.23,1.19,176.26,2.07,276.52000000000044,2.75
2030,Missouri,150.25,1.28,439.63,2.91,408.51000000000204,2.25
2030,Montana,22.83,1.23,37.8,1.61,67.09999999999991,2.51
2030,Nebraska,59.93,1.4,158.86,2.76,89.71000000000004,1.31
2030,Nevada,94.03,1.92,99.79,1.25,34.899999999999636,0.36
2030,New Hampshire,26.47,1.83,40.25,2.08,15.86999999999989,0.67
2030,New Jersey,128.84,1.29,305.5,2.27,353.3299999999981,2.11
2030,New Mexico,30.59,0.95,75.59,1.8,98.02000000000044,1.93
2030,New York,297.34,1.41,730.56,2.67,1004.1200000000026,3.02
2030,North Carolina,283.74,1.52,567.99,2.15,122.77000000000044,0.38
2030,North Dakota,32.41,1.32,53.11,1.54,28.870000000000346,0.71
2030,Ohio,250.74,1.32,617.02,2.42,697.3099999999977,2.2
2030,Oklahoma,132.1,1.5,347.25,2.9,238.09000000000015,1.65
2030,Oregon,91.29,1.32,138.34,1.54,112.19000000000051,1.02
2030,Pennsylvania,250.25,1.3,585.93,2.24,649.3200000000033,2.0
2030,Rhode Island,16.89,1.67,35.15,2.65,22.940000000000055,1.42
2030,South Carolina,162.99,1.46,318.78,2.01,303.6700000000019,1.6
2030,South Dakota,20.07,1.28,39.91,1.86,25.470000000000255,1.01
2030,Tennessee,200.14,1.44,412.73,2.12,516.0299999999988,2.17
