Year,State,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,Alabama,135.42,1.21,205.42,1.27,34.580000000001746,0.18
2020,Arizona,111.86,0.97,236.83,1.31,159.23999999999796,0.72
2020,Arkansas,59.71,0.98,107.86,1.33,29.229999999999563,0.3
2020,California,300.01,0.74,752.62,1.36,554.2400000000052,0.75
2020,Colorado,72.71,0.97,155.62,1.59,40.1299999999992,0.34
2020,Connecticut,50.01,1.31,108.67,2.14,118.73999999999978,1.84
2020,Delaware,17.22,1.12,33.11,1.54,20.649999999999636,0.78
2020,District of Columbia,18.0,1.13,34.72,1.54,21.789999999999964,0.79
2020,Florida,309.46,0.92,658.8,1.37,1615.6100000000006,2.93
2020,Georgia,242.15,1.33,403.02,1.54,11.889999999999418,0.04
2020,Idaho,28.92,0.87,72.78,1.68,150.8699999999999,2.73
2020,Illinois,196.25,1.06,405.85,1.61,330.83000000000175,1.09
2020,Indiana,149.96,1.18,309.9,1.85,228.6999999999971,1.16
2020,Iowa,55.22,0.9,86.77,1.05,14.459999999999127,0.15
2020,Kansas,76.34,1.35,144.05,1.8,88.27000000000044,0.92
2020,Kentucky,111.22,1.14,195.31,1.43,73.18000000000029,0.44
2020,Louisiana,98.42,0.88,168.36,1.13,67.20000000000073,0.38
2020,Maine,20.03,1.39,33.8,1.73,30.590000000000146,1.23
2020,Maryland,99.16,1.12,188.08,1.51,114.34999999999854,0.74
2020,Massachusetts,98.45,1.32,220.49,2.22,245.8199999999997,1.95
2020,Michigan,115.83,0.9,218.75,1.31,140.0,0.71
2020,Minnesota,73.06,0.84,115.94,1.0,46.340000000000146,0.34
2020,Mississippi,59.8,0.98,88.31,1.05,6.8799999999992,0.07
2020,Missouri,162.85,1.43,326.42,2.11,147.63000000000102,0.8
2020,Montana,13.68,0.77,25.14,1.13,20.909999999999854,0.83
2020,Nebraska,46.62,1.19,71.69,1.27,12.670000000000073,0.19
2020,Nevada,46.56,0.89,109.34,1.4,108.73999999999978,1.14
2020,New Hampshire,19.9,1.38,34.35,1.76,31.769999999999982,1.27
2020,New Jersey,135.0,1.26,303.68,2.06,255.27999999999884,1.41
2020,New Mexico,25.8,0.92,33.69,0.83,5.470000000000255,0.12
2020,New York,290.43,1.34,764.42,2.67,499.6099999999933,1.38
2020,North Carolina,242.44,1.34,367.83,1.4,500.5600000000013,1.59
2020,North Dakota,21.97,0.99,25.91,0.82,21.980000000000018,0.58
2020,Ohio,222.19,1.17,463.97,1.75,336.1399999999994,1.03
2020,Oklahoma,101.44,1.29,154.76,1.34,21.43000000000029,0.15
2020,Oregon,52.08,0.77,87.29,1.04,9.479999999999563,0.09
2020,Pennsylvania,222.75,1.15,454.46,1.68,315.58000000000175,0.95
2020,Rhode Island,14.12,1.37,32.84,2.4,37.72999999999979,2.17
2020,South Carolina,141.35,1.3,239.88,1.55,147.5600000000013,0.77
2020,South Dakota,15.31,0.99,20.67,0.96,1.430000000000291,0.06
2020,Tennessee,172.19,1.29,244.01,1.27,54.400000000001455,0.23
2020,Texas,572.18,1.12,624.47,0.82,277.83000000000175,0.31
2020,Utah,35.29,0.77,99.17,1.74,148.9399999999996,2.22
2020,Vermont,9.87,1.42,15.93,1.68,13.799999999999955,1.14
2020,Virginia,173.97,1.12,325.57,1.48,204.27999999999884,0.76
2020,Washington,85.37,0.64,130.59,0.77,79.78999999999724,0.36
2020,West Virginia,42.61,1.12,74.23,1.37,37.85999999999967,0.57
2020,Wisconsin,79.48,0.9,148.14,1.3,99.14999999999964,0.73
2020,Wyoming,14.84,0.78,33.27,1.41,52.98999999999978,1.95
2025,Alabama,200.33,1.7,272.78,1.65,23.790000000000873,0.1
2025,Arizona,160.54,1.29,328.58,1.69,375.27000000000044,1.56
2025,Arkansas,79.02,1.23,178.72,2.18,126.01000000000022,1.34
2025,California,492.5,1.2,816.36,1.37,947.7799999999988,1.2
2025,Colorado,89.14,1.09,187.41,1.8,157.1299999999992,1.23
2025,Connecticut,59.7,1.6,115.77,2.4,33.88999999999942,0.55
2025,Delaware,23.88,1.6,30.93,1.47,26.299999999999727,1.02
2025,District of Columbia,24.43,1.58,33.69,1.55,30.269999999999982,1.15
2025,Florida,383.95,1.13,669.62,1.41,39.11000000000058,0.07
2025,Georgia,358.4,1.91,515.76,1.97,72.89999999999418,0.19
2025,Idaho,45.73,1.21,109.65,2.28,153.96000000000004,2.58
2025,Illinois,248.21,1.37,464.29,1.92,498.22999999999956,1.74
2025,Indiana,140.36,1.11,269.94,1.66,297.09000000000015,1.58
2025,Iowa,69.72,1.09,142.18,1.73,87.43000000000029,0.93
2025,Kansas,84.42,1.46,176.48,2.25,166.58999999999833,1.83
2025,Kentucky,152.47,1.54,221.2,1.64,35.95999999999913,0.22
2025,Louisiana,135.5,1.14,305.51,2.04,222.5099999999984,1.3
2025,Maine,24.02,1.65,42.13,2.23,4.739999999999782,0.2
2025,Maryland,136.29,1.6,175.44,1.46,148.23999999999978,1.01
2025,Massachusetts,120.16,1.6,247.78,2.55,102.52000000000044,0.83
2025,Michigan,128.37,1.04,193.19,1.2,162.09000000000015,0.88
2025,Minnesota,90.24,1.0,161.95,1.41,95.96000000000095,0.73
2025,Mississippi,89.59,1.38,156.29,1.84,87.8799999999992,0.82
2025,Missouri,146.6,1.31,290.22,1.98,159.94000000000233,0.95
2025,Montana,17.57,0.93,29.98,1.29,40.00999999999976,1.48
2025,Nebraska,58.36,1.44,118.43,2.14,106.72000000000025,1.66
2025,Nevada,67.71,1.22,143.59,1.71,155.29999999999927,1.52
2025,New Hampshire,24.3,1.63,44.2,2.28,7.820000000000164,0.32
2025,New Jersey,155.82,1.54,289.62,2.1,319.8500000000022,1.92
2025,New Mexico,32.65,1.07,51.64,1.24,6.3400000000001455,0.13
2025,New York,329.32,1.55,684.22,2.46,275.5900000000038,0.79
2025,North Carolina,343.4,1.82,482.57,1.82,204.16999999999825,0.55
2025,North Dakota,30.58,1.23,44.4,1.32,7.2800000000002,0.19
2025,Ohio,284.57,1.56,431.97,1.7,415.46000000000276,1.35
2025,Oklahoma,129.97,1.54,252.03,2.17,256.39000000000124,1.9
2025,Oregon,71.77,0.97,128.22,1.39,176.02999999999884,1.58
2025,Pennsylvania,295.88,1.55,461.5,1.75,451.6899999999987,1.41
2025,Rhode Island,16.54,1.61,35.11,2.65,16.90000000000009,1.0
2025,South Carolina,194.83,1.73,264.63,1.68,132.86000000000058,0.58
2025,South Dakota,19.21,1.21,32.48,1.54,15.639999999999873,0.64
2025,Tennessee,241.27,1.7,352.24,1.78,148.52999999999884,0.52
2025,Texas,710.27,1.29,1008.84,1.29,144.3399999999965,0.16
2025,Utah,54.78,1.05,133.97,2.07,157.3800000000001,2.04
2025,Vermont,11.88,1.69,19.8,2.15,0.4199999999998454,0.04
2025,Virginia,246.3,1.55,407.38,1.86,409.65000000000146,1.54
2025,Washington,114.57,0.78,169.37,0.9,10.580000000001746,0.05
2025,West Virginia,60.38,1.69,61.46,1.2,36.07999999999993,0.58
2025,Wisconsin,86.83,1.0,144.15,1.29,86.94000000000051,0.68
2025,Wyoming,19.23,0.98,40.48,1.7,47.86999999999989,1.7
2030,Alabama,202.73,1.51,412.74,2.18,566.5400000000009,2.49
2030,Arizona,183.98,1.3,401.72,1.88,249.66999999999825,0.89
2030,Arkansas,84.17,1.22,141.3,1.49,115.02000000000044,1.02
2030,California,481.74,1.06,985.72,1.54,707.7299999999959,0.86
2030,Colorado,104.43,1.08,285.06,2.34,500.130000000001,3.3
2030,Connecticut,67.46,1.72,123.87,2.39,66.5,1.05
2030,Delaware,23.04,1.36,44.05,1.85,45.460000000000036,1.53
2030,District of Columbia,22.54,1.42,38.05,1.68,36.23000000000002,1.28
2030,Florida,475.69,1.33,826.5,1.61,531.7599999999948,0.93
2030,Georgia,329.96,1.58,649.66,2.18,842.3899999999994,2.38
2030,Idaho,55.28,1.32,133.18,2.38,188.73000000000047,2.84
2030,Illinois,228.84,1.18,491.74,1.87,747.380000000001,2.32
2030,Indiana,148.89,1.01,384.52,2.04,575.0200000000004,2.53
2030,Iowa,73.75,1.03,184.67,2.0,208.15999999999985,1.9
2030,Kansas,105.96,1.54,320.65,3.54,223.97999999999956,2.06
2030,Kentucky,138.07,1.25,244.4,1.57,206.0699999999997,1.08
2030,Louisiana,127.64,0.98,328.8,1.98,418.4400000000023,2.12
2030,Maine,28.52,1.84,42.63,2.05,15.059999999999945,0.59
2030,Maryland,125.23,1.35,243.16,1.87,253.0599999999995,1.57
2030,Massachusetts,134.41,1.68,272.82,2.6,168.23999999999978,1.31
2030,Michigan,129.06,0.94,307.71,1.75,469.4399999999987,2.24
2030,Minnesota,95.05,1.0,168.55,1.35,248.22000000000116,1.67
2030,Mississippi,83.94,1.17,193.11,2.03,317.8099999999995,2.84
2030,Missouri,162.44,1.25,462.43,2.74,418.6399999999994,2.07
2030,Montana,23.24,1.08,55.0,2.08,97.09000000000015,3.22
2030,Nebraska,68.12,1.46,175.2,2.75,97.35999999999967,1.28
2030,Nevada,84.4,1.32,197.11,2.12,158.15000000000146,1.41
2030,New Hampshire,28.96,1.82,44.68,2.1,17.16000000000031,0.66
2030,New Jersey,137.18,1.29,325.58,2.28,383.3999999999978,2.16
2030,New Mexico,35.41,0.96,85.36,1.76,109.19999999999982,1.86
2030,New York,327.44,1.45,793.39,2.68,1015.9400000000023,2.83
2030,North Carolina,331.55,1.57,668.03,2.23,55.279999999998836,0.15
2030,North Dakota,37.91,1.38,57.55,1.48,26.829999999999927,0.58
2030,Ohio,271.65,1.31,620.53,2.19,694.0200000000041,1.97
2030,Oklahoma,155.33,1.55,391.06,2.84,259.6900000000023,1.56
2030,Oregon,104.25,1.33,155.51,1.52,140.35000000000036,1.12
2030,Pennsylvania,278.48,1.3,637.73,2.19,714.7099999999991,1.98
2030,Rhode Island,18.35,1.67,38.64,2.68,24.960000000000036,1.42
2030,South Carolina,185.74,1.47,361.27,2.01,341.7099999999991,1.59
2030,South Dakota,22.39,1.32,41.83,1.8,22.259999999999764,0.81
2030,Tennessee,231.5,1.46,479.49,2.15,593.8100000000013,2.17
2030,Texas,732.03,1.16,1520.91,1.71,1335.840000000011,1.28
2030,Utah,55.12,0.91,149.16,2.0,140.5699999999997,1.58
2030,Vermont,13.69,1.86,20.11,2.03,6.75,0.56
2030,Virginia,235.88,1.35,447.48,1.83,459.9300000000003,1.51
2030,Washington,159.01,1.03,180.46,0.89,258.5699999999997,1.02
2030,West Virginia,56.0,1.41,97.15,1.71,94.34000000000015,1.33
2030,Wisconsin,90.71,0.95,178.51,1.44,281.1200000000008,1.91
2030,Wyoming,21.53,0.95,45.35,1.63,50.090000000000146,1.52
2035,Alabama,175.16,1.27,272.92,1.4,206.63999999999942,0.88
2035,Arizona,222.82,1.44,396.73,1.61,403.5199999999968,1.29
2035,Arkansas,84.02,1.13,161.39,1.62,106.48999999999978,0.91
2035,California,515.11,1.09,736.66,1.08,833.929999999993,0.97
2035,Colorado,119.7,1.07,348.24,2.43,378.4300000000003,2.13
2035,Connecticut,54.35,1.3,110.43,1.99,173.3199999999997,2.49
2035,Delaware,25.6,1.39,45.93,1.74,27.679999999999836,0.87
2035,District of Columbia,31.46,1.91,75.06,3.23,70.36999999999989,2.53
2035,Florida,607.45,1.59,1098.52,2.05,1507.689999999995,2.41
2035,Georgia,289.74,1.36,462.21,1.53,320.51000000000204,0.87
2035,Idaho,51.41,1.11,138.55,2.29,131.0,1.77
2035,Illinois,246.77,1.24,460.14,1.65,414.380000000001,1.26
2035,Indiana,168.04,1.09,300.74,1.43,268.8700000000026,1.08
2035,Iowa,90.64,1.23,102.99,1.0,47.210000000000946,0.39
2035,Kansas,106.67,1.42,287.74,2.89,264.5100000000002,2.22
2035,Kentucky,164.65,1.41,201.16,1.2,306.40999999999985,1.52
2035,Louisiana,148.19,1.08,361.94,2.05,326.52000000000044,1.57
2035,Maine,24.94,1.45,40.33,1.75,53.36999999999989,1.84
2035,Maryland,154.97,1.54,375.56,2.68,328.22999999999956,1.95
2035,Massachusetts,111.04,1.3,220.74,1.95,341.6800000000003,2.41
2035,Michigan,155.17,1.13,199.17,1.05,144.39999999999782,0.65
2035,Minnesota,122.23,1.23,115.94,0.84,52.3700000000008,0.32
2035,Mississippi,84.51,1.14,165.65,1.67,210.97000000000116,1.8
2035,Missouri,162.33,1.2,374.34,2.1,281.52000000000044,1.34
2035,Montana,21.91,0.93,51.77,1.8,56.279999999999745,1.73
2035,Nebraska,67.2,1.39,135.6,2.04,107.26000000000022,1.34
2035,Nevada,80.76,1.21,143.1,1.37,68.0099999999984,0.54
2035,New Hampshire,24.3,1.4,41.49,1.79,57.65000000000009,1.98
2035,New Jersey,270.98,2.55,602.15,3.98,760.5999999999985,4.2
2035,New Mexico,46.08,1.1,104.17,1.87,106.36999999999989,1.59
2035,New York,312.57,1.33,771.12,2.46,1057.530000000006,2.8
2035,North Carolina,341.95,1.54,598.51,1.9,858.6299999999974,2.23
2035,North Dakota,47.59,1.58,34.2,0.78,1.8699999999998909,0.04
2035,Ohio,303.12,1.42,510.39,1.65,280.02999999999884,0.75
2035,Oklahoma,155.79,1.41,358.6,2.39,280.8600000000006,1.55
2035,Oregon,96.44,1.14,137.16,1.28,253.10000000000036,1.96
2035,Pennsylvania,374.45,1.63,910.14,2.83,821.1200000000026,2.13
2035,Rhode Island,15.55,1.32,29.76,1.9,44.940000000000055,2.29
2035,South Carolina,191.52,1.43,322.72,1.71,472.40000000000146,2.05
2035,South Dakota,29.58,1.72,18.39,0.74,6.960000000000036,0.24
2035,Tennessee,216.2,1.31,370.75,1.61,638.0200000000004,2.31
2035,Texas,985.9,1.39,1953.68,1.99,1798.1399999999994,1.53
2035,Utah,66.78,1.01,179.04,2.17,103.67000000000007,1.04
2035,Vermont,11.54,1.45,18.72,1.75,24.839999999999918,1.84
2035,Virginia,267.52,1.42,631.26,2.4,547.0699999999997,1.74
2035,Washington,149.85,0.9,156.01,0.75,312.4399999999987,1.2
2035,West Virginia,66.53,1.63,79.35,1.3,12.260000000000218,0.17
2035,Wisconsin,114.22,1.16,130.65,0.96,83.34000000000015,0.52
2035,Wyoming,26.75,1.01,62.17,1.91,43.0300000000002,1.11
2040,Alabama,232.03,1.49,448.96,2.08,167.05999999999767,0.65
2040,Arizona,236.54,1.29,589.25,2.11,554.0199999999968,1.64
2040,Arkansas,105.47,1.24,241.74,2.19,168.1900000000005,1.33
2040,California,574.02,1.12,866.94,1.16,1162.2100000000064,1.24
2040,Colorado,172.54,1.3,492.24,2.94,586.2899999999972,2.97
2040,Connecticut,60.31,1.34,112.61,1.96,77.10999999999967,1.05
2040,Delaware,22.99,1.18,39.25,1.47,49.210000000000036,1.5
2040,District of Columbia,18.59,1.16,35.79,1.65,47.42000000000007,1.78
2040,Florida,566.92,1.41,929.55,1.57,391.0,0.58
2040,Georgia,374.31,1.56,725.42,2.17,244.72000000000116,0.62
2040,Idaho,67.67,1.32,164.13,2.4,94.54000000000087,1.09
2040,Illinois,244.01,1.17,320.01,1.11,306.88000000000466,0.89
2040,Indiana,167.26,0.99,338.75,1.56,334.1399999999994,1.32
2040,Iowa,96.29,1.1,170.25,1.48,73.31999999999971,0.55
2040,Kansas,152.85,1.83,373.09,3.23,298.4300000000003,2.23
2040,Kentucky,170.22,1.28,296.96,1.66,381.5499999999993,1.75
2040,Louisiana,148.96,1.04,290.79,1.58,137.14999999999782,0.64
2040,Maine,28.33,1.47,44.19,1.78,14.320000000000164,0.45
