Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,AEC,9.28,1.71,12.43,1.45,26.210000000000036,2.35
2020,AECI,40.04,1.61,55.88,1.43,15.730000000000473,0.33
2020,AVA,16.02,1.07,19.65,0.93,23.199999999999818,0.89
2020,AZPS,65.93,1.84,93.76,1.46,112.64000000000033,1.4
2020,BANC,29.88,1.39,43.96,1.24,31.609999999999673,0.64
2020,BPAT,75.93,1.08,95.8,1.03,150.5,1.22
2020,CHPD,2.77,1.22,3.61,0.89,6.459999999999923,1.12
2020,CISO,397.07,1.38,518.33,1.22,667.0299999999988,1.19
2020,CPLE,88.69,1.28,113.87,1.09,11.989999999999782,0.09
2020,DOPD,2.07,1.03,2.1,0.66,4.079999999999984,0.94
2020,DUK,145.86,1.19,226.09,1.28,209.53999999999724,0.98
2020,EPE,19.8,2.09,28.28,1.82,25.279999999999973,1.35
2020,ERCO,590.49,1.56,749.17,1.29,483.90000000000873,0.7
2020,FMPP,34.32,1.53,57.33,1.73,135.9699999999998,3.56
2020,FPC,114.59,1.72,185.73,1.78,439.7999999999993,3.56
2020,FPL,214.53,1.37,372.66,1.64,578.0699999999997,2.25
2020,GCPD,6.16,0.93,7.11,0.86,9.559999999999945,0.98
2020,GVL,5.01,2.06,7.34,1.94,4.140000000000043,0.87
2020,HST,1.08,1.57,1.8,1.81,1.6499999999999915,1.51
2020,IID,6.18,1.38,11.46,1.24,33.86000000000013,2.77
2020,IPCO,20.25,1.04,22.58,0.75,13.960000000000036,0.36
2020,ISNE,156.56,0.94,237.39,1.05,96.96000000000276,0.34
2020,JEA,32.24,1.99,46.54,1.95,5.179999999999836,0.18
2020,LDWP,51.68,1.44,72.27,1.28,44.5600000000004,0.6
2020,LGEE,96.57,2.64,136.53,2.62,115.36000000000058,1.79
2020,MISO,1405.59,1.82,1739.42,1.67,2070.9300000000076,1.67
2020,NEVP,53.6,1.15,80.14,1.01,144.88999999999942,1.48
2020,NSB,1.15,2.21,2.14,2.54,0.4100000000000108,0.38
2020,NWMT,17.39,1.61,22.49,1.68,29.170000000000073,1.91
2020,NYIS,230.88,1.18,358.9,1.31,88.02000000000407,0.25
2020,PACE,97.94,1.55,114.06,1.37,174.61000000000058,1.79
2020,PACW,29.9,1.16,34.31,1.01,48.73999999999978,1.14
2020,PGE,30.39,1.19,35.91,1.06,46.710000000000036,1.04
2020,PJM,1506.62,1.54,2107.7,1.48,1108.5999999999767,0.63
2020,PNM,51.85,2.97,64.0,2.59,105.80999999999995,3.65
2020,PSCO,142.16,2.83,174.82,2.5,201.4499999999989,2.35
2020,PSEI,40.23,1.05,48.64,0.93,70.10999999999967,1.08
2020,SC,42.29,1.38,54.86,1.2,19.049999999999272,0.32
2020,SCEG,43.11,1.36,56.11,1.2,80.19000000000051,1.41
2020,SCL,13.74,1.08,16.63,0.98,25.170000000000073,1.21
2020,SEC,3.2,1.93,4.07,1.63,4.449999999999989,1.5
2020,SOCO,390.72,1.46,511.64,1.28,180.23999999999796,0.39
2020,SPA,1.22,1.61,1.61,1.56,2.319999999999993,1.97
2020,SRP,62.83,1.8,97.87,1.54,128.75,1.65
2020,SWPP,366.37,1.15,410.6,0.85,104.19999999999709,0.18
2020,TAL,6.97,2.04,10.46,2.03,2.0399999999999636,0.32
2020,TEC,47.87,1.79,77.55,1.94,51.80000000000018,1.13
2020,TEPC,31.26,1.85,43.36,1.51,30.25,0.86
2020,TIDC,4.49,1.36,6.53,1.2,10.279999999999973,1.41
2020,TPWR,7.28,1.16,8.11,0.92,9.819999999999936,0.91
2020,TVA,278.42,1.38,394.48,1.37,72.22999999999593,0.21
2020,WACM,82.38,2.57,92.46,2.3,113.52999999999975,2.42
2020,WALC,17.01,1.51,23.16,1.47,28.15000000000009,1.55
2020,WAUW,1.55,1.79,2.23,1.89,3.180000000000007,2.25
2025,AEC,12.46,2.26,19.13,2.23,35.039999999999964,2.13
2025,AECI,51.99,2.24,58.71,1.55,52.10999999999967,0.92
2025,AVA,23.15,1.45,21.67,0.95,29.38000000000011,1.09
2025,AZPS,131.38,3.37,216.12,3.31,249.17999999999938,3.06
2025,BANC,48.68,2.08,93.96,2.47,128.48999999999978,2.5
2025,BPAT,115.42,1.56,126.82,1.28,208.39999999999964,1.72
2025,CHPD,3.62,1.48,4.36,1.06,7.919999999999959,1.49
2025,CISO,655.08,2.13,1073.27,2.43,1468.6699999999983,2.54
2025,CPLE,108.59,1.57,161.09,1.57,374.6900000000005,2.4
2025,DOPD,3.04,1.4,2.79,0.84,2.1899999999999977,0.56
2025,DUK,186.56,1.56,272.14,1.59,789.0600000000013,3.29
2025,EPE,33.74,3.47,55.83,3.66,48.41000000000008,2.59
2025,ERCO,837.49,2.15,1328.97,2.31,1220.3600000000006,1.84
2025,FMPP,52.4,2.39,88.13,2.77,126.61999999999989,3.06
2025,FPC,170.2,2.55,303.49,3.02,477.89999999999964,3.25
2025,FPL,325.57,2.17,538.33,2.48,498.15999999999985,1.98
2025,GCPD,8.85,1.27,11.91,1.35,14.38000000000011,1.4
2025,GVL,6.35,2.59,10.0,2.72,13.329999999999984,2.58
2025,HST,1.35,2.03,2.16,2.26,2.1899999999999977,2.08
2025,IID,11.0,2.22,23.21,2.43,37.87999999999988,3.06
2025,IPCO,40.5,1.85,75.82,2.34,75.07999999999947,1.83
2025,ISNE,209.51,1.3,309.05,1.43,434.3600000000006,1.57
2025,JEA,41.42,2.59,63.76,2.71,89.61999999999989,2.1
2025,LDWP,83.46,2.18,145.51,2.51,169.19999999999982,2.18
2025,LGEE,159.56,4.42,229.37,4.5,282.97000000000025,4.08
2025,MISO,2324.3,3.01,2970.98,2.95,3384.8399999999965,2.93
2025,NEVP,110.89,2.18,202.42,2.46,246.21999999999935,2.44
2025,NSB,1.6,3.07,2.93,3.59,3.799999999999983,2.86
2025,NWMT,34.49,3.08,42.74,3.06,53.5,3.37
2025,NYIS,281.77,1.47,405.86,1.56,293.89000000000306,0.9
2025,PACE,181.01,2.67,254.91,2.88,343.4200000000001,3.26
2025,PACW,47.11,1.75,59.09,1.69,71.22000000000025,1.69
2025,PGE,48.06,1.8,63.48,1.79,75.59000000000015,1.68
2025,PJM,2481.38,2.6,3432.78,2.52,2451.070000000007,1.5
2025,PNM,94.43,5.1,126.75,5.01,145.76999999999998,4.84
2025,PSCO,252.19,4.76,326.81,4.54,324.22999999999956,3.66
2025,PSEI,55.15,1.36,63.21,1.16,64.1899999999996,0.97
2025,SC,59.13,1.93,81.78,1.83,200.6300000000001,2.96
2025,SCEG,62.08,1.94,87.69,1.93,226.78999999999996,3.51
2025,SCL,19.04,1.43,21.25,1.21,13.700000000000273,0.65
2025,SEC,4.41,2.62,7.26,2.85,14.779999999999973,3.29
2025,SOCO,530.67,1.99,719.87,1.88,1188.2099999999991,2.12
2025,SPA,1.67,2.25,2.24,2.17,2.019999999999996,1.65
2025,SRP,126.39,3.35,215.3,3.32,237.82999999999993,2.97
2025,SWPP,602.37,1.92,697.23,1.53,976.3500000000058,1.84
2025,TAL,9.33,2.77,13.85,2.77,19.139999999999986,2.29
2025,TEC,65.41,2.48,113.58,2.98,181.65999999999985,3.89
2025,TEPC,60.9,3.41,100.56,3.51,113.07999999999993,3.15
2025,TIDC,7.71,2.14,14.23,2.48,18.819999999999936,2.55
2025,TPWR,9.69,1.46,10.43,1.13,9.489999999999782,0.85
2025,TVA,396.0,1.99,544.64,1.91,523.6300000000047,1.26
2025,WACM,148.45,4.39,176.03,4.24,193.92000000000007,3.98
2025,WALC,30.36,2.55,44.82,2.71,51.049999999999955,2.63
2025,WAUW,3.02,3.36,4.12,3.32,5.300000000000011,3.65
2030,AEC,16.54,2.96,30.03,3.37,33.3900000000001,3.14
2030,AECI,59.3,2.38,114.11,2.98,12.510000000000218,0.25
2030,AVA,30.11,1.82,37.36,1.62,36.98000000000002,1.27
2030,AZPS,155.29,3.76,301.3,4.49,349.10999999999876,3.94
2030,BANC,56.98,2.34,116.2,2.98,117.84999999999945,2.18
2030,BPAT,140.46,1.85,150.22,1.49,174.34000000000015,1.3
2030,CHPD,3.91,1.57,4.56,1.08,8.059999999999945,1.36
2030,CISO,728.59,2.28,1282.57,2.81,1362.0,2.32
2030,CPLE,136.33,1.94,236.3,2.21,277.5799999999999,2.13
2030,DOPD,3.3,1.52,2.92,0.89,2.6899999999999977,0.61
2030,DUK,260.6,2.08,469.77,2.59,304.84000000000015,1.38
2030,EPE,33.81,3.29,60.82,3.77,78.18000000000029,3.69
2030,ERCO,851.01,2.12,1538.45,2.54,1869.0299999999988,2.66
2030,FMPP,72.33,3.32,108.96,3.37,129.21000000000004,3.55
2030,FPC,215.74,3.3,336.42,3.29,366.02000000000044,3.15
2030,FPL,484.9,3.2,743.44,3.34,894.25,3.61
2030,GCPD,11.15,1.53,17.64,1.91,20.710000000000036,1.95
2030,GVL,8.1,3.34,13.44,3.57,8.899999999999977,1.99
2030,HST,2.16,3.16,3.19,3.27,4.259999999999991,3.99
2030,IID,12.12,2.3,27.73,2.83,38.66000000000008,2.99
2030,IPCO,57.3,2.43,108.99,3.1,154.73999999999978,3.6
2030,ISNE,160.96,0.98,264.35,1.19,179.0799999999981,0.66
2030,JEA,50.24,3.25,74.06,3.15,78.7800000000002,2.79
2030,LDWP,90.16,2.26,162.32,2.69,189.57999999999993,2.42
2030,LGEE,188.35,5.18,265.33,5.01,407.91999999999916,6.19
2030,MISO,2452.95,3.09,3500.0,3.28,3780.9100000000035,3.01
2030,NEVP,149.86,2.77,281.65,3.31,367.7099999999991,3.55
2030,NSB,1.87,3.7,3.24,3.92,2.950000000000003,3.0
2030,NWMT,42.67,3.62,55.15,3.75,61.680000000000064,3.55
2030,NYIS,275.8,1.43,422.61,1.59,531.8000000000029,1.65
2030,PACE,209.46,2.89,325.8,3.42,329.8700000000008,2.92
2030,PACW,61.74,2.2,79.85,2.16,77.44000000000051,1.7
2030,PGE,60.71,2.2,81.3,2.16,151.94999999999982,3.19
2030,PJM,2951.36,3.03,4590.47,3.23,6939.860000000015,3.93
2030,PNM,99.16,5.03,145.94,5.45,156.66999999999962,4.75
2030,PSCO,246.33,4.39,353.19,4.59,432.0699999999997,4.47
2030,PSEI,64.28,1.55,71.74,1.28,75.47000000000025,1.08
2030,SC,79.68,2.5,135.32,2.83,113.90999999999985,2.01
2030,SCEG,82.52,2.47,139.04,2.83,104.07999999999993,1.79
2030,SCL,21.08,1.54,23.77,1.31,26.100000000000364,1.2
2030,SEC,5.4,3.36,8.1,3.36,10.700000000000045,3.83
2030,SOCO,701.2,2.54,1176.86,2.83,1352.4800000000032,2.76
2030,SPA,1.93,2.52,2.6,2.48,4.099999999999994,3.31
2030,SRP,150.45,3.76,298.45,4.45,329.3199999999997,3.8
2030,SWPP,610.1,1.78,1120.15,2.26,1437.7699999999968,2.41
2030,TAL,11.66,3.44,21.2,4.11,27.789999999999964,4.53
2030,TEC,84.73,3.19,131.41,3.36,161.22000000000025,3.68
2030,TEPC,72.98,3.88,134.21,4.59,181.42999999999984,4.73
2030,TIDC,8.78,2.36,17.15,2.91,24.42999999999995,3.07
2030,TPWR,10.51,1.55,11.39,1.2,10.569999999999936,0.9
2030,TVA,522.05,2.57,808.32,2.7,822.4900000000052,2.26
2030,WACM,141.53,3.96,182.96,4.12,240.15999999999985,4.58
2030,WALC,35.15,2.85,53.5,3.21,71.55999999999995,3.69
2030,WAUW,3.6,3.79,5.54,4.21,5.009999999999991,3.18
2035,AEC,16.82,3.0,28.43,3.25,29.059999999999945,2.78
2035,AECI,35.74,1.4,69.9,1.84,69.46999999999935,1.52
2035,AVA,29.68,1.74,40.24,1.78,46.61999999999989,1.71
2035,AZPS,148.35,3.51,272.92,3.84,359.85000000000036,3.96
2035,BANC,42.4,1.75,78.29,2.07,92.84000000000015,1.84
2035,BPAT,140.25,1.8,179.22,1.84,265.8700000000008,2.1
2035,CHPD,3.98,1.56,6.2,1.52,8.209999999999923,1.45
2035,CISO,515.28,1.61,719.17,1.54,1117.7799999999988,1.93
2035,CPLE,146.42,2.08,248.44,2.36,412.1999999999989,3.21
2035,DOPD,3.53,1.53,5.51,1.73,8.370000000000005,2.04
2035,DUK,264.26,2.13,457.51,2.57,564.6399999999994,2.6
2035,EPE,24.97,2.32,46.82,2.74,54.34999999999991,2.5
2035,ERCO,663.37,1.65,1043.17,1.7,1431.3300000000017,1.95
2035,FMPP,79.55,3.67,123.35,3.89,125.64000000000033,3.46
2035,FPC,239.45,3.67,396.47,3.97,502.8700000000008,4.29
2035,FPL,562.04,3.76,858.48,3.92,953.7900000000009,3.8
2035,GCPD,10.47,1.41,15.71,1.7,20.079999999999927,1.91
2035,GVL,9.36,3.85,16.34,4.47,22.089999999999975,5.06
2035,HST,2.73,4.1,3.94,4.08,4.950000000000003,4.66
2035,IID,8.71,1.69,16.26,1.6,27.360000000000127,2.11
2035,IPCO,59.59,2.47,109.36,3.08,134.47000000000025,2.99
2035,ISNE,108.46,0.64,169.44,0.76,40.220000000001164,0.14
2035,JEA,58.75,3.75,95.93,4.2,151.38999999999987,5.63
2035,LDWP,63.12,1.58,97.07,1.55,71.11000000000058,0.89
2035,LGEE,206.95,5.65,322.94,6.14,404.1199999999999,6.44
2035,MISO,1961.25,2.44,3252.79,2.97,4211.709999999992,3.26
2035,NEVP,156.59,2.83,280.88,3.14,383.7600000000002,3.5
2035,NSB,2.02,4.03,3.48,4.34,3.6400000000000006,3.85
