Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,AEC,8.44,1.55,11.85,1.38,0.22000000000002728,0.02
2020,AECI,38.34,1.56,55.96,1.4,1.6199999999998909,0.03
2020,AVA,12.89,0.86,13.16,0.63,7.579999999999927,0.29
2020,AZPS,76.56,2.05,129.34,2.0,105.60999999999967,1.31
2020,BANC,33.93,1.51,65.41,1.87,194.85999999999967,3.82
2020,BPAT,59.17,0.85,51.29,0.56,45.68000000000029,0.37
2020,CHPD,2.39,1.05,3.12,0.79,1.9300000000000637,0.34
2020,CISO,423.75,1.42,698.46,1.65,756.3600000000006,1.34
2020,CPLE,93.33,1.33,135.78,1.29,113.85000000000036,0.89
2020,DOPD,2.16,1.06,2.06,0.67,1.0200000000000387,0.23
2020,DUK,144.95,1.19,215.65,1.22,2.1599999999998545,0.01
2020,EPE,21.41,2.22,35.43,2.26,41.319999999999936,2.18
2020,ERCO,540.21,1.41,802.66,1.37,878.7400000000052,1.28
2020,FMPP,39.47,1.77,58.46,1.75,18.61999999999989,0.48
2020,FPC,121.82,1.83,179.75,1.71,121.29000000000087,0.97
2020,FPL,250.2,1.63,370.38,1.61,38.909999999999854,0.15
2020,GCPD,5.47,0.82,6.39,0.77,7.149999999999977,0.73
2020,GVL,5.14,2.07,8.04,2.1,10.060000000000002,2.14
2020,HST,1.23,1.79,1.62,1.62,1.5900000000000034,1.45
2020,IID,7.31,1.44,16.85,1.83,24.84999999999991,1.99
2020,IPCO,20.52,1.02,31.63,1.04,56.690000000000055,1.42
2020,ISNE,158.41,0.92,326.55,1.41,384.2699999999968,1.3
2020,JEA,30.22,1.87,44.52,1.85,63.48000000000002,2.14
2020,LDWP,54.08,1.44,104.0,1.83,192.40999999999985,2.53
2020,LGEE,91.36,2.52,126.5,2.4,117.22999999999956,1.81
2020,MISO,1243.45,1.6,1844.88,1.75,2219.970000000001,1.78
2020,NEVP,58.06,1.18,102.88,1.3,137.9300000000003,1.39
2020,NSB,1.31,2.52,2.28,2.69,2.239999999999995,2.08
