Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2025,PJM,1417.81,1.41,2401.61,1.65,1257.4300000000221,0.72
2025,PNM,63.86,3.31,88.16,3.31,67.40000000000009,2.14
2025,PSCO,158.67,2.8,226.21,2.89,139.51000000000022,1.45
2025,PSEI,20.28,0.47,26.07,0.45,28.909999999999854,0.42
2025,SC,41.22,1.18,73.64,1.5,86.47000000000025,1.19
2025,SCEG,41.71,1.16,74.18,1.48,107.59999999999945,1.55
2025,SCL,6.43,0.45,8.4,0.45,4.330000000000382,0.19
2025,SEC,2.47,1.39,3.68,1.4,1.3500000000000227,0.28
2025,SOCO,276.68,0.95,491.14,1.22,91.65999999999622,0.16
2025,SPA,1.08,1.42,1.42,1.34,1.0100000000000051,0.8
2025,SRP,72.18,1.65,138.98,1.9,85.01000000000022,0.94
2025,SWPP,238.74,0.7,433.09,0.91,304.6000000000058,0.55
2025,TAL,6.8,1.83,11.55,2.15,1.6200000000000045,0.18
2025,TEC,45.01,1.58,69.92,1.71,21.050000000000182,0.43
2025,TEPC,33.49,1.64,60.78,1.85,95.9399999999996,2.35
2025,TIDC,2.87,0.7,6.1,1.01,6.1200000000000045,0.77
2025,TPWR,3.83,0.54,5.2,0.53,4.980000000000018,0.42
2025,TVA,179.21,0.8,355.23,1.15,709.0500000000029,1.62
2025,WACM,89.44,2.54,113.27,2.59,161.52999999999975,3.14
2025,WALC,9.93,0.77,14.79,0.83,17.980000000000018,0.86
2025,WAUW,1.06,1.19,1.33,1.07,0.5599999999999739,0.38
2030,AEC,8.34,1.31,13.77,1.39,2.3299999999999272,0.2
2030,AECI,65.24,2.35,123.22,2.89,114.67000000000007,2.16
2030,AVA,18.96,1.02,24.05,0.94,42.149999999999636,1.33
2030,AZPS,55.02,1.02,107.57,1.3,130.88000000000102,1.19
2030,BANC,31.17,1.2,47.98,1.11,49.82000000000062,0.82
2030,BPAT,80.53,0.95,105.11,0.95,140.88999999999942,0.97
2030,CHPD,3.68,1.28,5.1,1.12,6.0,0.92
2030,CISO,348.64,1.03,441.0,0.87,123.26000000000204,0.19
2030,CPLE,108.59,1.31,201.67,1.65,246.96999999999935,1.68
2030,DOPD,3.04,1.19,3.78,1.06,4.25,0.89
2030,DUK,156.83,1.05,353.84,1.69,41.31000000000131,0.16
2030,EPE,15.07,1.32,25.17,1.42,30.269999999999982,1.28
2030,ERCO,539.93,1.23,795.75,1.17,202.6600000000035,0.26
2030,FMPP,48.62,1.92,80.15,2.18,59.720000000000255,1.44
2030,FPC,166.99,2.2,286.77,2.46,227.15999999999985,1.72
2030,FPL,322.6,1.85,484.35,1.91,427.5,1.52
2030,GCPD,5.94,0.75,5.84,0.57,7.180000000000064,0.6
2030,GVL,6.67,2.36,11.28,2.64,12.629999999999995,2.47
2030,HST,1.45,1.88,1.88,1.69,1.3700000000000045,1.13
2030,IID,6.83,1.2,12.95,1.19,18.850000000000136,1.32
2030,IPCO,26.32,1.04,43.15,1.1,44.409999999999854,0.91
2030,ISNE,303.71,1.73,400.12,1.65,228.02000000000044,0.77
2030,JEA,40.14,2.21,70.09,2.63,78.04999999999973,2.41
