Year,BA,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_M1_MWh,Peak_Rel_Diff_M1_%,Peak_Abs_Diff_M2_MWh,Peak_Rel_Diff_M2_%
2020,AEC,9.01,1.64,13.42,1.56,0.8699999999998909,0.08
2020,AECI,56.12,2.2,90.89,2.33,41.13000000000011,0.86
2020,AVA,13.1,0.83,16.87,0.79,26.0300000000002,0.98
2020,AZPS,45.74,1.07,96.39,1.41,63.98999999999978,0.75
2020,BANC,23.83,0.98,63.69,1.78,69.98999999999978,1.36
2020,BPAT,54.17,0.74,84.78,0.92,45.340000000000146,0.36
2020,CHPD,3.09,1.25,5.24,1.3,1.92999999999995,0.33
2020,CISO,232.28,0.73,570.62,1.32,573.2000000000044,1.0
2020,CPLE,117.75,1.66,160.02,1.49,129.38999999999942,0.98
2020,DOPD,2.69,1.22,3.69,1.15,5.9599999999999795,1.33
2020,DUK,175.46,1.38,302.76,1.67,195.7599999999984,0.89
2020,EPE,13.01,1.27,25.37,1.63,14.049999999999955,0.74
2020,ERCO,504.42,1.32,516.28,0.87,173.77999999999884,0.25
2020,FMPP,27.62,1.18,52.45,1.54,147.59000000000015,3.75
2020,FPC,90.85,1.28,189.88,1.77,450.27000000000044,3.55
2020,FPL,163.09,0.99,321.94,1.38,421.73999999999796,1.6
2020,GCPD,4.53,0.65,8.45,1.0,5.57000000000005,0.56
2020,GVL,4.63,1.78,8.24,2.12,2.900000000000034,0.59
2020,HST,1.05,1.49,1.52,1.5,0.6400000000000006,0.57
2020,IID,6.27,1.18,12.64,1.34,30.7800000000002,2.45
2020,IPCO,23.04,1.08,55.58,1.83,117.86000000000013,2.99
2020,ISNE,228.05,1.31,488.95,2.11,529.5799999999981,1.8
2020,JEA,26.5,1.58,41.59,1.71,23.48999999999978,0.78
2020,LDWP,41.14,1.0,114.02,1.98,142.3099999999995,1.85
2020,LGEE,57.7,1.54,99.23,1.89,47.86000000000058,0.74
2020,MISO,709.31,0.87,1282.83,1.21,801.429999999993,0.64
2020,NEVP,50.19,0.95,121.03,1.51,117.43000000000029,1.19
2020,NSB,1.15,2.13,2.16,2.49,1.1899999999999977,1.08
2020,NWMT,7.39,0.69,10.45,0.81,17.680000000000064,1.18
2020,NYIS,288.52,1.36,756.3,2.7,454.61999999999534,1.28
2020,PACE,52.93,0.79,146.67,1.75,232.42000000000007,2.36
2020,PACW,21.08,0.78,35.69,1.06,7.730000000000473,0.18
2020,PGE,22.93,0.87,42.49,1.25,85.25,1.88
2020,PJM,1203.72,1.15,2466.24,1.69,1724.6900000000023,0.96
2020,PNM,17.74,1.0,29.02,1.17,14.639999999999873,0.5
2020,PSCO,53.74,1.0,122.3,1.71,33.409999999999854,0.38
2020,PSEI,24.59,0.61,34.66,0.66,10.1200000000008,0.15
2020,SC,48.58,1.49,79.64,1.68,80.73999999999978,1.28
2020,SCEG,46.23,1.35,85.5,1.77,43.0,0.73
2020,SCL,7.81,0.59,11.18,0.65,9.760000000000218,0.46
2020,SEC,2.45,1.44,3.54,1.4,3.759999999999991,1.25
2020,SOCO,368.87,1.32,613.4,1.54,63.549999999995634,0.13
2020,SPA,0.96,1.27,1.25,1.22,1.0,0.85
2020,SRP,45.1,1.11,96.26,1.44,101.32999999999902,1.23
2020,SWPP,414.32,1.24,707.81,1.48,298.1599999999962,0.52
2020,TAL,5.98,1.69,9.92,1.88,0.5399999999999636,0.08
2020,TEC,40.17,1.43,71.36,1.75,32.89000000000033,0.7
2020,TEPC,21.9,1.16,42.62,1.42,45.11999999999989,1.22
2020,TIDC,3.42,0.9,9.19,1.66,14.290000000000077,1.88
2020,TPWR,4.67,0.71,7.37,0.83,6.639999999999873,0.6
2020,TVA,270.44,1.33,384.8,1.32,111.5,0.31
2020,WACM,31.28,0.95,55.2,1.36,45.469999999999345,0.96
2020,WALC,7.63,0.67,9.87,0.61,9.420000000000073,0.51
2020,WAUW,1.2,1.37,2.07,1.81,3.9399999999999977,2.83
2025,AEC,12.03,2.1,14.32,1.62,3.7799999999999727,0.22
2025,AECI,63.01,2.44,106.35,2.7,123.05000000000018,2.12
2025,AVA,18.83,1.07,24.09,1.01,1.099999999999909,0.04
2025,AZPS,65.34,1.42,128.24,1.75,132.6200000000008,1.43
2025,BANC,39.38,1.57,75.18,1.88,87.59000000000015,1.59
2025,BPAT,71.85,0.88,123.22,1.18,11.3799999999992,0.09
2025,CHPD,3.81,1.4,5.51,1.26,1.830000000000041,0.32
2025,CISO,383.43,1.19,613.71,1.32,725.1199999999953,1.18
2025,CPLE,163.36,2.2,212.19,1.97,13.720000000001164,0.08
2025,DOPD,3.69,1.44,6.58,1.85,0.5999999999999659,0.14
2025,DUK,240.29,1.83,357.59,1.95,222.1700000000019,0.87
2025,EPE,15.63,1.47,30.58,1.95,6.720000000000027,0.35
2025,ERCO,607.25,1.49,762.57,1.27,59.08999999999651,0.08
2025,FMPP,30.97,1.3,50.99,1.51,5.099999999999454,0.12
2025,FPC,112.06,1.54,192.07,1.81,52.8799999999992,0.34
2025,FPL,187.08,1.12,353.67,1.52,176.65999999999985,0.66
2025,GCPD,5.72,0.74,10.23,1.09,12.649999999999864,1.16
2025,GVL,5.46,2.0,9.61,2.46,5.480000000000018,0.99
2025,HST,1.08,1.53,1.37,1.35,1.5,1.33
2025,IID,8.17,1.5,15.64,1.56,4.210000000000036,0.32
2025,IPCO,36.27,1.46,84.47,2.5,83.97000000000025,1.93
2025,ISNE,277.83,1.6,548.42,2.44,178.83000000000175,0.62
2025,JEA,32.78,1.87,50.11,2.03,40.67000000000007,0.89
2025,LDWP,59.12,1.42,128.26,2.1,24.670000000000073,0.3
2025,LGEE,73.58,1.95,105.27,2.02,26.44000000000051,0.37
