State,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
Iowa,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Kansas,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Kentucky,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Louisiana,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Maine,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Maryland,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Massachusetts,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Michigan,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Minnesota,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Mississippi,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Missouri,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Montana,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Nebraska,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Nevada,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
New Hampshire,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
New Jersey,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
New Mexico,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
New York,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
North Carolina,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
North Dakota,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Ohio,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Oklahoma,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Oregon,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Pennsylvania,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Rhode Island,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
South Carolina,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
South Dakota,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Tennessee,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Texas,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Utah,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Vermont,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Virginia,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Washington,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
West Virginia,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Wisconsin,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Wyoming,rcp45hotter_ssp3,rcp45cooler_ssp3,,,,
Alabama,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.95,2035.0,12.09
Arizona,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.82,2035.0,11.07
Arkansas,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,5.25,2030.0,5.52
California,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,5.87,2035.0,5.64
Colorado,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.36,2035.0,8.86
Connecticut,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.53,2035.0,9.81
Delaware,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.86,2035.0,9.91
District of Columbia,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.55,2035.0,7.59
Florida,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.96,2035.0,7.78
Georgia,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.43,2035.0,10.53
Idaho,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.27,2035.0,11.45
Illinois,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.53,2035.0,7.92
Indiana,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.11,2035.0,9.89
Iowa,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.2,2035.0,9.95
Kansas,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.23,2035.0,10.34
Kentucky,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.54,2035.0,11.93
Louisiana,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.92,2035.0,9.69
Maine,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,5.81,2030.0,6.04
Maryland,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.29,2035.0,8.34
Massachusetts,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.77,2035.0,9.05
Michigan,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.09,2035.0,8.82
Minnesota,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.77,2035.0,8.48
Mississippi,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,5.21,2035.0,12.14
Missouri,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.09,2035.0,9.87
Montana,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.24,2035.0,11.81
Nebraska,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.21,2035.0,10.65
Nevada,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.29,2035.0,9.47
New Hampshire,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.52,2030.0,5.1
New Jersey,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.39,2035.0,7.37
New Mexico,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.99,2035.0,10.28
New York,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.55,2035.0,8.66
North Carolina,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.03,2030.0,5.1
North Dakota,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.42,2035.0,10.48
Ohio,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.33,2035.0,9.38
Oklahoma,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.78,2035.0,11.08
Oregon,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.47,2035.0,8.34
Pennsylvania,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.3,2035.0,9.36
Rhode Island,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.31,2035.0,9.59
South Carolina,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.01,2035.0,11.21
South Dakota,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.67,2035.0,11.59
Tennessee,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.51,2035.0,11.15
Texas,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,9.32,2035.0,9.22
Utah,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,7.11,2035.0,7.02
Vermont,rcp85cooler_ssp5,rcp85cooler_ssp3,2030.0,6.1,2030.0,6.33
Virginia,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,10.27,2035.0,10.48
Washington,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,6.65,2035.0,6.68
West Virginia,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.81,2030.0,5.05
Wisconsin,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,8.82,2035.0,8.6
Wyoming,rcp85cooler_ssp5,rcp85cooler_ssp3,2035.0,11.83,2035.0,12.58
Alabama,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Arizona,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Arkansas,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
California,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Colorado,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Connecticut,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.25,,
Delaware,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
District of Columbia,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.74,2070.0,5.16
Florida,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Georgia,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.01,,
Idaho,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Illinois,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Indiana,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2080.0,5.77
Iowa,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Kansas,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.0,2070.0,6.24
Kentucky,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Louisiana,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Maine,rcp85hotter_ssp5,rcp85cooler_ssp5,2075.0,5.02,,
Maryland,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Massachusetts,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.25,,
Michigan,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Minnesota,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Mississippi,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Missouri,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2065.0,5.28
Montana,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2085.0,6.12
Nebraska,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Nevada,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
New Hampshire,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.47,,
New Jersey,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.66,2070.0,5.93
New Mexico,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
New York,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2085.0,7.67
North Carolina,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.64,2070.0,5.38
North Dakota,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Ohio,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Oklahoma,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Oregon,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Pennsylvania,rcp85hotter_ssp5,rcp85cooler_ssp5,,,2085.0,5.95
Rhode Island,rcp85hotter_ssp5,rcp85cooler_ssp5,2085.0,5.24,2075.0,5.2
South Carolina,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.18,2090.0,5.15
South Dakota,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Tennessee,rcp85hotter_ssp5,rcp85cooler_ssp5,2090.0,5.06,2080.0,6.66
Texas,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Utah,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Vermont,rcp85hotter_ssp5,rcp85cooler_ssp5,2080.0,5.19,,
Virginia,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Washington,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
West Virginia,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Wisconsin,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
Wyoming,rcp85hotter_ssp5,rcp85cooler_ssp5,,,,
